,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
4,ADELAIDE,ALICE SPRINGS,1988,181142,1524,205967,2005584,1316.0
43,ADELAIDE,BRISBANE,1988,75625,792,89576,1284624,1622.0
84,ADELAIDE,CANBERRA,1988,24668,295,34316,286740,972.0
123,ADELAIDE,DARWIN,1988,9948,105,12850,274995,2619.0
146,ADELAIDE,GOLD COAST,1988,15335,157,18967,252299,1607.0
185,ADELAIDE,MELBOURNE,1988,824943,8469,1044861,5445567,643.0
224,ADELAIDE,PERTH,1988,257378,2358,310999,4998960,2120.0
292,ADELAIDE,SYDNEY,1988,511396,4797,623970,5598099,1167.0
331,ALBURY,SYDNEY,1988,118563,2859,161966,1292268,452.0
370,ALICE SPRINGS,DARWIN,1988,176481,1845,246590,2407725,1305.0
414,ALICE SPRINGS,SYDNEY,1988,113453,1433,159364,2897526,2022.0
504,BRISBANE,CAIRNS,1988,191917,2418,238845,3363438,1391.0
543,BRISBANE,CANBERRA,1988,1119,13,1592,12428,956.0
582,BRISBANE,DARWIN,1988,26589,290,33783,827080,2852.0
700,BRISBANE,MACKAY,1988,14628,285,23584,227145,797.0
739,BRISBANE,MELBOURNE,1988,538008,5429,659472,7497449,1381.0
828,BRISBANE,PERTH,1988,4588,42,5698,151830,3615.0
867,BRISBANE,PROSERPINE,1988,47071,789,76553,706155,895.0
906,BRISBANE,ROCKHAMPTON,1988,272044,3611,356364,1870498,518.0
945,BRISBANE,SYDNEY,1988,1805604,15668,2310078,11798004,753.0
984,BRISBANE,TOWNSVILLE,1988,472346,4965,568963,5521080,1112.0
1023,BROOME,PERTH,1988,17333,324,21142,543348,1677.0
1073,CAIRNS,MELBOURNE,1988,15466,162,18789,374382,2311.0
1112,CAIRNS,SYDNEY,1988,69872,725,84806,1428975,1971.0
1183,CANBERRA,MELBOURNE,1988,435405,6328,652766,2974160,470.0
1222,CANBERRA,SYDNEY,1988,651569,10460,921813,2468560,236.0
1261,COFFS HARBOUR,SYDNEY,1988,91336,2293,121325,1015799,443.0
1343,DARWIN,SYDNEY,1988,2711,33,3631,104115,3155.0
1382,DEVONPORT,MELBOURNE,1988,131347,4110,196608,1693320,412.0
1413,DUBBO,SYDNEY,1988,71703,3609,114169,1118790,310.0
1464,GOLD COAST,SYDNEY,1988,818961,9082,1001171,6175760,680.0
1537,HOBART,MELBOURNE,1988,308320,3633,399662,2245194,618.0
1605,KALGOORLIE,PERTH,1988,116823,3403,159107,1830814,538.0
1644,KARRATHA,PERTH,1988,135320,2536,169791,3170000,1250.0
1683,LAUNCESTON,MELBOURNE,1988,410553,7176,558420,3415776,476.0
1754,MELBOURNE,BURNIE,1988,66253,2199,105217,831222,378.0
1785,MELBOURNE,GOLD COAST,1988,309805,2612,369812,3473960,1330.0
1824,MELBOURNE,MILDURA,1988,51204,3818,98574,1744826,457.0
1897,MELBOURNE,PERTH,1988,393109,3759,456801,10171854,2706.0
1936,MELBOURNE,SYDNEY,1988,2496024,22192,3306009,15667552,706.0
2032,PERTH,SYDNEY,1988,283173,2374,333794,7796216,3284.0
2091,SUNSHINE COAST,MELBOURNE,1988,23414,535,33245,777890,1454.0
2130,SUNSHINE COAST,SYDNEY,1988,55664,1319,79944,1104003,837.0
2177,SYDNEY,TOWNSVILLE,1988,72826,766,85961,1294540,1690.0
2216,SYDNEY,WAGGA WAGGA,1988,67550,1964,99724,720788,367.0
