,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
8,ADELAIDE,ALICE SPRINGS,1992,144173,1506,172820,1981896,1316.0
47,ADELAIDE,BRISBANE,1992,106873,1257,140392,2038854,1622.0
88,ADELAIDE,CANBERRA,1992,53304,746,82290,725112,972.0
127,ADELAIDE,DARWIN,1992,70210,837,93570,2192103,2619.0
150,ADELAIDE,GOLD COAST,1992,9002,115,12545,184805,1607.0
189,ADELAIDE,MELBOURNE,1992,1087415,11960,1447051,7690280,643.0
228,ADELAIDE,PERTH,1992,298471,2768,341221,5868160,2120.0
296,ADELAIDE,SYDNEY,1992,698124,7500,883865,8752500,1167.0
335,ALBURY,SYDNEY,1992,71139,2761,116081,1247972,452.0
374,ALICE SPRINGS,DARWIN,1992,133206,1646,193741,2148030,1305.0
418,ALICE SPRINGS,SYDNEY,1992,136856,1480,170809,2992560,2022.0
508,BRISBANE,CAIRNS,1992,585704,6706,737172,9328046,1391.0
547,BRISBANE,CANBERRA,1992,42803,1017,74145,972252,956.0
586,BRISBANE,DARWIN,1992,118603,1381,163612,3938612,2852.0
704,BRISBANE,MACKAY,1992,129648,2692,179908,2145524,797.0
743,BRISBANE,MELBOURNE,1992,839658,9069,1052321,12524289,1381.0
832,BRISBANE,PERTH,1992,6491,55,6851,198825,3615.0
871,BRISBANE,PROSERPINE,1992,48795,842,76132,753590,895.0
910,BRISBANE,ROCKHAMPTON,1992,215999,5028,308268,2604504,518.0
949,BRISBANE,SYDNEY,1992,2260606,21313,3086021,16048689,753.0
988,BRISBANE,TOWNSVILLE,1992,375982,4620,496979,5137440,1112.0
1027,BROOME,PERTH,1992,40809,732,52256,1227564,1677.0
1077,CAIRNS,MELBOURNE,1992,31858,282,38767,651702,2311.0
1116,CAIRNS,SYDNEY,1992,205157,1860,245154,3666060,1971.0
1187,CANBERRA,MELBOURNE,1992,527570,7727,850248,3631690,470.0
1226,CANBERRA,SYDNEY,1992,725951,15223,1208765,3592628,236.0
1265,COFFS HARBOUR,SYDNEY,1992,104589,2392,151110,1059656,443.0
1347,DARWIN,SYDNEY,1992,2691,31,3731,97805,3155.0
1386,DEVONPORT,MELBOURNE,1992,101427,4587,160320,1889844,412.0
1417,DUBBO,SYDNEY,1992,81334,4657,146276,1443670,310.0
1468,GOLD COAST,SYDNEY,1992,1096921,12656,1469807,8606080,680.0
1541,HOBART,MELBOURNE,1992,534323,6120,685969,3782160,618.0
1609,KALGOORLIE,PERTH,1992,87067,2674,130588,1438612,538.0
1648,KARRATHA,PERTH,1992,123484,2188,157520,2735000,1250.0
1687,LAUNCESTON,MELBOURNE,1992,392108,7370,536431,3508120,476.0
1758,MELBOURNE,BURNIE,1992,60975,2856,98835,1079568,378.0
1789,MELBOURNE,GOLD COAST,1992,350882,3312,425317,4404960,1330.0
1828,MELBOURNE,MILDURA,1992,49975,3716,84581,1698212,457.0
1864,MELBOURNE,NEWCASTLE,1992,677,6,808,5016,836.0
1901,MELBOURNE,PERTH,1992,633299,5570,727224,15072420,2706.0
1940,MELBOURNE,SYDNEY,1992,3454077,29352,4518785,20722512,706.0
2036,PERTH,SYDNEY,1992,482966,3897,570735,12797748,3284.0
2095,SUNSHINE COAST,MELBOURNE,1992,953,14,1483,20356,1454.0
2134,SUNSHINE COAST,SYDNEY,1992,143956,1794,189530,1501578,837.0
2181,SYDNEY,TOWNSVILLE,1992,6601,82,8384,138580,1690.0
2220,SYDNEY,WAGGA WAGGA,1992,79058,2154,99774,790518,367.0
