,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
10,ADELAIDE,ALICE SPRINGS,1994,158761,1503,187151,1977948,1316.0
49,ADELAIDE,BRISBANE,1994,122425,1262,154015,2046964,1622.0
90,ADELAIDE,CANBERRA,1994,60010,780,89388,758160,972.0
129,ADELAIDE,DARWIN,1994,103601,1110,137946,2907090,2619.0
152,ADELAIDE,GOLD COAST,1994,894,9,1022,14463,1607.0
191,ADELAIDE,MELBOURNE,1994,1161250,12339,1563766,7933977,643.0
230,ADELAIDE,PERTH,1994,371645,3376,475899,7157120,2120.0
259,ADELAIDE,PORT LINCOLN,1994,43707,2849,70901,700854,246.0
298,ADELAIDE,SYDNEY,1994,926242,9307,1226020,10861269,1167.0
337,ALBURY,SYDNEY,1994,107464,3662,151765,1655224,452.0
376,ALICE SPRINGS,DARWIN,1994,157598,1732,222040,2260260,1305.0
420,ALICE SPRINGS,SYDNEY,1994,184702,1688,220253,3413136,2022.0
471,BALLINA,SYDNEY,1994,37391,906,53121,554472,612.0
510,BRISBANE,CAIRNS,1994,936708,8522,1296982,11854102,1391.0
549,BRISBANE,CANBERRA,1994,100959,2085,147286,1993260,956.0
588,BRISBANE,DARWIN,1994,143631,1473,193572,4200996,2852.0
640,BRISBANE,HAMILTON ISLAND,1994,51949,794,76340,705072,888.0
706,BRISBANE,MACKAY,1994,189547,4126,279698,3288422,797.0
745,BRISBANE,MELBOURNE,1994,1164827,11351,1444897,15675731,1381.0
795,BRISBANE,NEWCASTLE,1994,4262,352,7384,216128,614.0
834,BRISBANE,PERTH,1994,11307,108,15460,390420,3615.0
873,BRISBANE,PROSERPINE,1994,82172,1638,110913,1466010,895.0
912,BRISBANE,ROCKHAMPTON,1994,223904,5311,339111,2751098,518.0
951,BRISBANE,SYDNEY,1994,2874087,23897,3940157,17994441,753.0
990,BRISBANE,TOWNSVILLE,1994,414852,4885,556589,5432120,1112.0
1029,BROOME,PERTH,1994,58251,1087,74192,1822899,1677.0
1079,CAIRNS,MELBOURNE,1994,42264,403,51346,931333,2311.0
1118,CAIRNS,SYDNEY,1994,590818,4603,843266,9072513,1971.0
1147,CAIRNS,TOWNSVILLE,1994,56025,2548,86064,723632,284.0
1189,CANBERRA,MELBOURNE,1994,618682,8649,944426,4065030,470.0
1228,CANBERRA,SYDNEY,1994,791713,17465,1259045,4121740,236.0
1267,COFFS HARBOUR,SYDNEY,1994,143366,4089,208668,1811427,443.0
1296,DARWIN,MELBOURNE,1994,523,6,875,18786,3131.0
1349,DARWIN,SYDNEY,1994,42565,525,64546,1656375,3155.0
1388,DEVONPORT,MELBOURNE,1994,113361,4704,163783,1938048,412.0
1419,DUBBO,SYDNEY,1994,101755,4561,157256,1413910,310.0
1470,GOLD COAST,SYDNEY,1994,1266067,13313,1614247,9052840,680.0
1543,HOBART,MELBOURNE,1994,654677,7803,849713,4822254,618.0
1572,HOBART,SYDNEY,1994,50841,751,69122,780289,1039.0
1611,KALGOORLIE,PERTH,1994,124282,4278,172770,2301564,538.0
1650,KARRATHA,PERTH,1994,160233,3208,222268,4010000,1250.0
1689,LAUNCESTON,MELBOURNE,1994,469602,7109,653852,3383884,476.0
1718,LAUNCESTON,SYDNEY,1994,16962,314,21883,286996,914.0
1760,MELBOURNE,BURNIE,1994,74933,2905,98980,1098090,378.0
1791,MELBOURNE,GOLD COAST,1994,499626,4471,611089,5946430,1330.0
1830,MELBOURNE,MILDURA,1994,64294,3813,104004,1742541,457.0
1865,MELBOURNE,NEWCASTLE,1994,3366,296,8584,247456,836.0
1903,MELBOURNE,PERTH,1994,718719,5857,888942,15849042,2706.0
1942,MELBOURNE,SYDNEY,1994,4315774,32767,6290394,23133502,706.0
1999,PERTH,PORT HEDLAND,1994,37205,734,51112,963008,1312.0
2038,PERTH,SYDNEY,1994,713841,5156,905177,16932304,3284.0
2097,SUNSHINE COAST,MELBOURNE,1994,28105,337,33767,489998,1454.0
2136,SUNSHINE COAST,SYDNEY,1994,179507,2156,215988,1804572,837.0
2183,SYDNEY,TOWNSVILLE,1994,90,1,137,1690,1690.0
2222,SYDNEY,WAGGA WAGGA,1994,94013,3450,140601,1266150,367.0
