,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
26,ADELAIDE,ALICE SPRINGS,2010,43433,366,58550,481656,1316.0
65,ADELAIDE,BRISBANE,2010,717098,5746,874807,9320012,1622.0
106,ADELAIDE,CANBERRA,2010,192740,1899,256324,1845828,972.0
165,ADELAIDE,GOLD COAST,2010,261908,2041,328960,3279887,1607.0
207,ADELAIDE,MELBOURNE,2010,2258309,19097,2746089,12279371,643.0
246,ADELAIDE,PERTH,2010,599013,5672,725089,12024640,2120.0
275,ADELAIDE,PORT LINCOLN,2010,166206,6565,300141,1614990,246.0
314,ADELAIDE,SYDNEY,2010,1785702,13495,2167356,15748665,1167.0
353,ALBURY,SYDNEY,2010,248589,6637,356388,2999924,452.0
397,ALICE SPRINGS,MELBOURNE,2010,143712,1125,180506,2092500,1860.0
458,AYERS ROCK,SYDNEY,2010,52572,496,68023,1081776,2181.0
487,BALLINA,SYDNEY,2010,267622,3684,358314,2254608,612.0
526,BRISBANE,CAIRNS,2010,1153753,8706,1407369,12110046,1391.0
565,BRISBANE,CANBERRA,2010,612674,6657,822700,6364092,956.0
604,BRISBANE,DARWIN,2010,367202,2414,463053,6884728,2852.0
656,BRISBANE,HAMILTON ISLAND,2010,176236,1419,240591,1260072,888.0
722,BRISBANE,MACKAY,2010,798044,8090,1016753,6447730,797.0
761,BRISBANE,MELBOURNE,2010,3020158,22776,3703432,31453656,1381.0
811,BRISBANE,NEWCASTLE,2010,579082,5655,717447,3472170,614.0
850,BRISBANE,PERTH,2010,755123,4406,892337,15927690,3615.0
889,BRISBANE,PROSERPINE,2010,210516,1448,249970,1295960,895.0
928,BRISBANE,ROCKHAMPTON,2010,643895,9654,837851,5000772,518.0
967,BRISBANE,SYDNEY,2010,4397500,31010,5397416,23350530,753.0
1006,BRISBANE,TOWNSVILLE,2010,941877,8092,1206991,8998304,1112.0
1045,BROOME,PERTH,2010,326310,3664,450317,6144528,1677.0
1095,CAIRNS,MELBOURNE,2010,451142,2898,538271,6697278,2311.0
1134,CAIRNS,SYDNEY,2010,876758,6080,1078371,11983680,1971.0
1163,CAIRNS,TOWNSVILLE,2010,178480,5370,290508,1525080,284.0
1205,CANBERRA,MELBOURNE,2010,1138039,11781,1575816,5537070,470.0
1244,CANBERRA,SYDNEY,2010,1096232,18159,1637125,4285524,236.0
1283,COFFS HARBOUR,SYDNEY,2010,307845,4833,414529,2141019,443.0
1312,DARWIN,MELBOURNE,2010,289159,2043,387928,6396633,3131.0
1326,DARWIN,PERTH,2010,147900,1709,207825,4530559,2651.0
1435,DUBBO,SYDNEY,2010,181431,6315,251658,1957650,310.0
1486,GOLD COAST,SYDNEY,2010,2405005,16534,2871131,11243120,680.0
1510,HAMILTON ISLAND,SYDNEY,2010,183318,1444,244188,2203544,1526.0
1559,HOBART,MELBOURNE,2010,1231876,8902,1504988,5501436,618.0
1588,HOBART,SYDNEY,2010,502821,4169,615229,4331591,1039.0
1627,KALGOORLIE,PERTH,2010,227226,2450,314901,1318100,538.0
1666,KARRATHA,PERTH,2010,587116,6597,939679,8246250,1250.0
1705,LAUNCESTON,MELBOURNE,2010,838240,8432,1059641,4013632,476.0
1734,LAUNCESTON,SYDNEY,2010,211505,1641,258909,1499874,914.0
1807,MELBOURNE,GOLD COAST,2010,1767638,11598,2122635,15425340,1330.0
1846,MELBOURNE,MILDURA,2010,198265,4860,274516,2221020,457.0
1880,MELBOURNE,NEWCASTLE,2010,370675,2674,461607,2235464,836.0
1919,MELBOURNE,PERTH,2010,1736356,10843,2093520,29341158,2706.0
1958,MELBOURNE,SYDNEY,2010,7901054,52041,9594271,36740946,706.0
1979,NEWCASTLE,GOLD COAST,2010,178721,1303,228685,702317,539.0
1986,PERTH,NEWMAN,2010,199041,3000,334779,3057000,1019.0
2015,PERTH,PORT HEDLAND,2010,329929,3960,491576,5195520,1312.0
2054,PERTH,SYDNEY,2010,1622703,9490,2022895,31165160,3284.0
2069,PORT MACQUARIE,SYDNEY,2010,212352,4483,296557,1439043,321.0
2113,SUNSHINE COAST,MELBOURNE,2010,403230,2976,511655,4327104,1454.0
2152,SUNSHINE COAST,SYDNEY,2010,460294,3624,600899,3033288,837.0
2199,SYDNEY,TOWNSVILLE,2010,171319,1417,210152,2394730,1690.0
2238,SYDNEY,WAGGA WAGGA,2010,185372,5778,278230,2120526,367.0
