,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
34,ADELAIDE,ALICE SPRINGS,2018,130294,1334,184095,1755544,1316.0
73,ADELAIDE,BRISBANE,2018,846516,6669,1082136,10817118,1622.0
114,ADELAIDE,CANBERRA,2018,195185,1709,286421,1661148,972.0
173,ADELAIDE,GOLD COAST,2018,220500,1487,264123,2389609,1607.0
215,ADELAIDE,MELBOURNE,2018,2498204,19056,3083565,12253008,643.0
254,ADELAIDE,PERTH,2018,635120,5574,829768,11816880,2120.0
283,ADELAIDE,PORT LINCOLN,2018,169609,7258,283397,1785468,246.0
322,ADELAIDE,SYDNEY,2018,1906655,13877,2304824,16194459,1167.0
361,ALBURY,SYDNEY,2018,226340,5754,319382,2600808,452.0
390,ALICE SPRINGS,DARWIN,2018,109707,1865,213382,2433825,1305.0
453,ARMIDALE,SYDNEY,2018,121795,4261,178851,1627702,382.0
466,AYERS ROCK,SYDNEY,2018,194751,1405,250352,3064305,2181.0
495,BALLINA,SYDNEY,2018,435956,3347,522709,2048364,612.0
534,BRISBANE,CAIRNS,2018,1320132,9875,1513122,13736125,1391.0
573,BRISBANE,CANBERRA,2018,643328,6346,871999,6066776,956.0
612,BRISBANE,DARWIN,2018,376462,2883,468680,8222316,2852.0
623,BRISBANE,EMERALD,2018,195239,3650,272123,2383450,653.0
635,BRISBANE,GLADSTONE,2018,252998,4754,362876,2063236,434.0
664,BRISBANE,HAMILTON ISLAND,2018,124317,1322,171346,1173936,888.0
688,BRISBANE,HOBART,2018,228985,1558,273713,2790378,1791.0
730,BRISBANE,MACKAY,2018,743317,7264,948477,5789408,797.0
769,BRISBANE,MELBOURNE,2018,3569361,25501,4338711,35216881,1381.0
790,BRISBANE,MOUNT ISA,2018,129775,1872,175281,2944656,1573.0
819,BRISBANE,NEWCASTLE,2018,582798,5317,792535,3264638,614.0
858,BRISBANE,PERTH,2018,956828,6022,1139920,21769530,3615.0
897,BRISBANE,PROSERPINE,2018,250543,1716,304434,1535820,895.0
936,BRISBANE,ROCKHAMPTON,2018,513728,7913,649860,4098934,518.0
975,BRISBANE,SYDNEY,2018,4825478,35029,5774026,26376837,753.0
1014,BRISBANE,TOWNSVILLE,2018,995970,8758,1274823,9738896,1112.0
1053,BROOME,PERTH,2018,338850,3759,427771,6303843,1677.0
1063,BUNDABERG,BRISBANE,2018,162840,3324,233828,953988,287.0
1103,CAIRNS,MELBOURNE,2018,854481,5238,1011538,12105018,2311.0
1142,CAIRNS,SYDNEY,2018,1132679,7315,1354367,14417865,1971.0
1171,CAIRNS,TOWNSVILLE,2018,149404,4004,249920,1137136,284.0
1213,CANBERRA,MELBOURNE,2018,1175529,11236,1753797,5280920,470.0
1252,CANBERRA,SYDNEY,2018,952995,16132,1283731,3807152,236.0
1291,COFFS HARBOUR,SYDNEY,2018,339843,4666,472292,2067038,443.0
1320,DARWIN,MELBOURNE,2018,307293,2127,390929,6659637,3131.0
1334,DARWIN,PERTH,2018,194308,1578,265494,4183278,2651.0
1373,DARWIN,SYDNEY,2018,310700,2507,425128,7909585,3155.0
1443,DUBBO,SYDNEY,2018,188748,5388,257216,1670280,310.0
1455,GERALDTON,PERTH,2018,112998,2245,223485,830650,370.0
1494,GOLD COAST,SYDNEY,2018,2722796,17838,3141053,12129840,680.0
1518,HAMILTON ISLAND,SYDNEY,2018,204673,1852,299973,2826152,1526.0
1567,HOBART,MELBOURNE,2018,1652803,11680,2086711,7218240,618.0
1596,HOBART,SYDNEY,2018,705622,5142,855854,5342538,1039.0
1635,KALGOORLIE,PERTH,2018,278332,3661,463065,1969618,538.0
1674,KARRATHA,PERTH,2018,440649,5960,682276,7450000,1250.0
1713,LAUNCESTON,MELBOURNE,2018,955438,8964,1191229,4266864,476.0
1742,LAUNCESTON,SYDNEY,2018,287885,1928,333538,1762192,914.0
1815,MELBOURNE,GOLD COAST,2018,2060760,12433,2349896,16535890,1330.0
1854,MELBOURNE,MILDURA,2018,226104,4715,346120,2154755,457.0
1888,MELBOURNE,NEWCASTLE,2018,490289,3326,597067,2780536,836.0
1927,MELBOURNE,PERTH,2018,2113233,11731,2475544,31744086,2706.0
1966,MELBOURNE,SYDNEY,2018,9240010,59882,10794283,42276692,706.0
1972,MELBOURNE,TOWNSVILLE,2018,81853,585,105144,1202175,2055.0
1994,PERTH,NEWMAN,2018,305742,4020,541123,4096380,1019.0
2023,PERTH,PORT HEDLAND,2018,362360,4415,540326,5792480,1312.0
2062,PERTH,SYDNEY,2018,1716911,9085,2046176,29835140,3284.0
2077,PORT MACQUARIE,SYDNEY,2018,186867,3778,240106,1212738,321.0
2083,PROSERPINE,SYDNEY,2018,133898,901,162804,1366817,1517.0
2121,SUNSHINE COAST,MELBOURNE,2018,544949,3587,636182,5215498,1454.0
2160,SUNSHINE COAST,SYDNEY,2018,628794,4607,767058,3856059,837.0
2168,SYDNEY,TAMWORTH,2018,175107,4021,267215,1286720,320.0
2207,SYDNEY,TOWNSVILLE,2018,169076,1259,210972,2127710,1690.0
2246,SYDNEY,WAGGA WAGGA,2018,181333,5085,259939,1866195,367.0
