,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
13,ADELAIDE,ALICE SPRINGS,1997,158628,1468,201725,1931888,1316.0
52,ADELAIDE,BRISBANE,1997,176312,1703,213142,2762266,1622.0
93,ADELAIDE,CANBERRA,1997,96144,1430,165675,1389960,972.0
132,ADELAIDE,DARWIN,1997,126212,1489,174392,3899691,2619.0
155,ADELAIDE,GOLD COAST,1997,325,3,343,4821,1607.0
194,ADELAIDE,MELBOURNE,1997,1284165,13860,1781149,8911980,643.0
233,ADELAIDE,PERTH,1997,398715,4291,555856,9096920,2120.0
262,ADELAIDE,PORT LINCOLN,1997,95285,6170,149701,1517820,246.0
301,ADELAIDE,SYDNEY,1997,1042363,11078,1421371,12928026,1167.0
340,ALBURY,SYDNEY,1997,114774,4781,164322,2161012,452.0
379,ALICE SPRINGS,DARWIN,1997,164971,2219,259844,2895795,1305.0
423,ALICE SPRINGS,SYDNEY,1997,139561,1481,181545,2994582,2022.0
474,BALLINA,SYDNEY,1997,93333,2593,137472,1586916,612.0
513,BRISBANE,CAIRNS,1997,1009523,9130,1417588,12699830,1391.0
552,BRISBANE,CANBERRA,1997,190957,3472,294761,3319232,956.0
591,BRISBANE,DARWIN,1997,147770,1585,201236,4520420,2852.0
643,BRISBANE,HAMILTON ISLAND,1997,107863,1478,151456,1312464,888.0
709,BRISBANE,MACKAY,1997,228148,4061,339446,3236617,797.0
748,BRISBANE,MELBOURNE,1997,1552110,15565,2042872,21495265,1381.0
798,BRISBANE,NEWCASTLE,1997,26448,2699,56606,1657186,614.0
837,BRISBANE,PERTH,1997,29552,287,40357,1037505,3615.0
876,BRISBANE,PROSERPINE,1997,82559,1753,109569,1568935,895.0
915,BRISBANE,ROCKHAMPTON,1997,242865,5484,402689,2840712,518.0
954,BRISBANE,SYDNEY,1997,3110753,24516,4309789,18460548,753.0
993,BRISBANE,TOWNSVILLE,1997,430105,4703,573040,5229736,1112.0
1032,BROOME,PERTH,1997,128205,2755,184679,4620135,1677.0
1082,CAIRNS,MELBOURNE,1997,70022,579,110288,1338069,2311.0
1121,CAIRNS,SYDNEY,1997,655732,4864,936417,9586944,1971.0
1150,CAIRNS,TOWNSVILLE,1997,116795,6285,202054,1784940,284.0
1192,CANBERRA,MELBOURNE,1997,685398,9437,1086500,4435390,470.0
1231,CANBERRA,SYDNEY,1997,807009,21852,1324194,5157072,236.0
1270,COFFS HARBOUR,SYDNEY,1997,157911,5584,251222,2473712,443.0
1299,DARWIN,MELBOURNE,1997,552,7,1102,21917,3131.0
1352,DARWIN,SYDNEY,1997,106762,1239,144488,3909045,3155.0
1391,DEVONPORT,MELBOURNE,1997,124333,5107,180945,2104084,412.0
1422,DUBBO,SYDNEY,1997,113383,6914,183259,2143340,310.0
1473,GOLD COAST,SYDNEY,1997,1296533,11951,1713765,8126680,680.0
1546,HOBART,MELBOURNE,1997,732465,6709,918238,4146162,618.0
1575,HOBART,SYDNEY,1997,97668,1426,140514,1481614,1039.0
1614,KALGOORLIE,PERTH,1997,186047,4081,320371,2195578,538.0
1653,KARRATHA,PERTH,1997,159696,3770,264477,4712500,1250.0
1692,LAUNCESTON,MELBOURNE,1997,450851,6108,584073,2907408,476.0
1721,LAUNCESTON,SYDNEY,1997,78070,1308,105465,1195512,914.0
1763,MELBOURNE,BURNIE,1997,97525,4430,155790,1674540,378.0
1794,MELBOURNE,GOLD COAST,1997,559638,4608,709141,6128640,1330.0
1833,MELBOURNE,MILDURA,1997,99127,4302,137745,1966014,457.0
1867,MELBOURNE,NEWCASTLE,1997,17304,2086,38262,1743896,836.0
1906,MELBOURNE,PERTH,1997,839390,6979,1065307,18885174,2706.0
1945,MELBOURNE,SYDNEY,1997,4840734,34144,6621271,24105664,706.0
2002,PERTH,PORT HEDLAND,1997,111372,3058,205987,4012096,1312.0
2041,PERTH,SYDNEY,1997,898405,7194,1191675,23625096,3284.0
2100,SUNSHINE COAST,MELBOURNE,1997,36331,392,45241,569968,1454.0
2139,SUNSHINE COAST,SYDNEY,1997,171148,1755,204034,1468935,837.0
2186,SYDNEY,TOWNSVILLE,1997,32877,354,41654,598260,1690.0
2225,SYDNEY,WAGGA WAGGA,1997,120271,4999,172012,1834633,367.0
