,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
7,ADELAIDE,ALICE SPRINGS,1991,158961,1520,203904,2000320,1316.0
46,ADELAIDE,BRISBANE,1991,107448,1168,138799,1894496,1622.0
87,ADELAIDE,CANBERRA,1991,57794,697,80073,677484,972.0
126,ADELAIDE,DARWIN,1991,56019,711,80050,1862109,2619.0
149,ADELAIDE,GOLD COAST,1991,13057,167,18525,268369,1607.0
188,ADELAIDE,MELBOURNE,1991,1053542,10218,1321338,6570174,643.0
227,ADELAIDE,PERTH,1991,284558,2876,377438,6097120,2120.0
295,ADELAIDE,SYDNEY,1991,640260,6263,802064,7308921,1167.0
334,ALBURY,SYDNEY,1991,67582,2828,118046,1278256,452.0
373,ALICE SPRINGS,DARWIN,1991,149089,1756,233280,2291580,1305.0
417,ALICE SPRINGS,SYDNEY,1991,127017,1494,167854,3020868,2022.0
507,BRISBANE,CAIRNS,1991,593027,6057,742006,8425287,1391.0
546,BRISBANE,CANBERRA,1991,18353,498,30228,476088,956.0
585,BRISBANE,DARWIN,1991,88999,1154,132715,3291208,2852.0
703,BRISBANE,MACKAY,1991,101682,2033,154798,1620301,797.0
742,BRISBANE,MELBOURNE,1991,771028,7491,955176,10345071,1381.0
831,BRISBANE,PERTH,1991,11937,91,16030,328965,3615.0
870,BRISBANE,PROSERPINE,1991,44075,689,67492,616655,895.0
909,BRISBANE,ROCKHAMPTON,1991,189801,4436,289329,2297848,518.0
948,BRISBANE,SYDNEY,1991,2304810,18472,2970761,13909416,753.0
987,BRISBANE,TOWNSVILLE,1991,342777,4388,466868,4879456,1112.0
1026,BROOME,PERTH,1991,38410,659,47823,1105143,1677.0
1076,CAIRNS,MELBOURNE,1991,40869,300,48200,693300,2311.0
1115,CAIRNS,SYDNEY,1991,198223,1655,233847,3262005,1971.0
1186,CANBERRA,MELBOURNE,1991,490206,7219,748923,3392930,470.0
1225,CANBERRA,SYDNEY,1991,684447,13380,1110242,3157680,236.0
1264,COFFS HARBOUR,SYDNEY,1991,103526,2320,145792,1027760,443.0
1346,DARWIN,SYDNEY,1991,5143,56,6630,176680,3155.0
1385,DEVONPORT,MELBOURNE,1991,113914,3394,180001,1398328,412.0
1416,DUBBO,SYDNEY,1991,69900,3530,119791,1094300,310.0
1467,GOLD COAST,SYDNEY,1991,874828,10310,1134067,7010800,680.0
1540,HOBART,MELBOURNE,1991,524837,6209,696879,3837162,618.0
1608,KALGOORLIE,PERTH,1991,84352,2722,125906,1464436,538.0
1647,KARRATHA,PERTH,1991,111389,1986,142373,2482500,1250.0
1686,LAUNCESTON,MELBOURNE,1991,373946,6978,506904,3321528,476.0
1757,MELBOURNE,BURNIE,1991,52485,2520,87116,952560,378.0
1788,MELBOURNE,GOLD COAST,1991,315190,3254,385199,4327820,1330.0
1827,MELBOURNE,MILDURA,1991,43494,3753,93282,1715121,457.0
1900,MELBOURNE,PERTH,1991,708255,6233,936637,16866498,2706.0
1939,MELBOURNE,SYDNEY,1991,3323121,26836,4467842,18946216,706.0
2035,PERTH,SYDNEY,1991,472062,4099,653239,13461116,3284.0
2094,SUNSHINE COAST,MELBOURNE,1991,9103,218,14494,316972,1454.0
2133,SUNSHINE COAST,SYDNEY,1991,82281,1298,115419,1086426,837.0
2180,SYDNEY,TOWNSVILLE,1991,6964,80,8245,135200,1690.0
2219,SYDNEY,WAGGA WAGGA,1991,76147,2153,101748,790151,367.0
