,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
16,ADELAIDE,ALICE SPRINGS,2000,153440,1465,186712,1927940,1316.0
55,ADELAIDE,BRISBANE,2000,228649,2056,267783,3334832,1622.0
96,ADELAIDE,CANBERRA,2000,100776,1843,153437,1791396,972.0
135,ADELAIDE,DARWIN,2000,154871,1650,196290,4321350,2619.0
197,ADELAIDE,MELBOURNE,2000,1373578,14080,1806596,9053440,643.0
236,ADELAIDE,PERTH,2000,399355,4265,542808,9041800,2120.0
265,ADELAIDE,PORT LINCOLN,2000,100466,5950,146528,1463700,246.0
304,ADELAIDE,SYDNEY,2000,1180389,12679,1628011,14796393,1167.0
343,ALBURY,SYDNEY,2000,124506,5774,202619,2609848,452.0
382,ALICE SPRINGS,DARWIN,2000,168718,2146,226108,2800530,1305.0
426,ALICE SPRINGS,SYDNEY,2000,156154,1480,188593,2992560,2022.0
477,BALLINA,SYDNEY,2000,95557,4628,176950,2832336,612.0
516,BRISBANE,CAIRNS,2000,994834,8622,1272352,11993202,1391.0
555,BRISBANE,CANBERRA,2000,256500,4798,347092,4586888,956.0
594,BRISBANE,DARWIN,2000,162164,1520,209897,4335040,2852.0
646,BRISBANE,HAMILTON ISLAND,2000,125560,1968,184487,1747584,888.0
672,BRISBANE,HOBART,2000,1128,22,1457,39402,1791.0
712,BRISBANE,MACKAY,2000,204826,4045,321127,3223865,797.0
751,BRISBANE,MELBOURNE,2000,1875504,17964,2325154,24808284,1381.0
801,BRISBANE,NEWCASTLE,2000,50237,3672,97492,2254608,614.0
840,BRISBANE,PERTH,2000,69655,680,94681,2458200,3615.0
879,BRISBANE,PROSERPINE,2000,78575,1497,113214,1339815,895.0
918,BRISBANE,ROCKHAMPTON,2000,236856,5114,362146,2649052,518.0
957,BRISBANE,SYDNEY,2000,3735169,28757,4874794,21654021,753.0
996,BRISBANE,TOWNSVILLE,2000,512149,5478,688844,6091536,1112.0
1035,BROOME,PERTH,2000,143158,2577,183811,4321629,1677.0
1085,CAIRNS,MELBOURNE,2000,52942,455,64632,1051505,2311.0
1124,CAIRNS,SYDNEY,2000,720562,4412,914005,8696052,1971.0
1153,CAIRNS,TOWNSVILLE,2000,134758,6605,232389,1875820,284.0
1195,CANBERRA,MELBOURNE,2000,765571,10286,1041006,4834420,470.0
1234,CANBERRA,SYDNEY,2000,908044,27055,1338848,6384980,236.0
1273,COFFS HARBOUR,SYDNEY,2000,165042,7243,260628,3208649,443.0
1302,DARWIN,MELBOURNE,2000,102,1,226,3131,3131.0
1355,DARWIN,SYDNEY,2000,134089,1368,171481,4316040,3155.0
1394,DEVONPORT,MELBOURNE,2000,130468,5180,183666,2134160,412.0
1425,DUBBO,SYDNEY,2000,119219,6028,209445,1868680,310.0
1476,GOLD COAST,SYDNEY,2000,1250460,9887,1504275,6723160,680.0
1549,HOBART,MELBOURNE,2000,792326,10109,991169,6247362,618.0
1578,HOBART,SYDNEY,2000,126243,1913,179813,1987607,1039.0
1617,KALGOORLIE,PERTH,2000,182862,3994,318644,2148772,538.0
1656,KARRATHA,PERTH,2000,152071,3195,259399,3993750,1250.0
1695,LAUNCESTON,MELBOURNE,2000,443819,9320,586150,4436320,476.0
1724,LAUNCESTON,SYDNEY,2000,71540,1192,91423,1089488,914.0
1766,MELBOURNE,BURNIE,2000,92709,4171,147335,1576638,378.0
1797,MELBOURNE,GOLD COAST,2000,569633,4058,718303,5397140,1330.0
1836,MELBOURNE,MILDURA,2000,110566,4706,165710,2150642,457.0
1870,MELBOURNE,NEWCASTLE,2000,46405,2849,86062,2381764,836.0
1909,MELBOURNE,PERTH,2000,978874,7483,1224424,20248998,2706.0
1948,MELBOURNE,SYDNEY,2000,5878000,41694,7841720,29435964,706.0
2005,PERTH,PORT HEDLAND,2000,74334,1430,106374,1876160,1312.0
2044,PERTH,SYDNEY,2000,1043461,7950,1336004,26107800,3284.0
2103,SUNSHINE COAST,MELBOURNE,2000,34208,391,48971,568514,1454.0
2142,SUNSHINE COAST,SYDNEY,2000,143031,1435,177472,1201095,837.0
2189,SYDNEY,TOWNSVILLE,2000,1626,16,2181,27040,1690.0
2228,SYDNEY,WAGGA WAGGA,2000,113979,5064,176571,1858488,367.0
