,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
66,ADELAIDE,BRISBANE,2011,679827,5342,814462,8664724,1622.0
107,ADELAIDE,CANBERRA,2011,185408,1844,246699,1792368,972.0
166,ADELAIDE,GOLD COAST,2011,182052,1437,216870,2309259,1607.0
208,ADELAIDE,MELBOURNE,2011,2155959,18132,2558132,11658876,643.0
247,ADELAIDE,PERTH,2011,592522,5471,711541,11598520,2120.0
276,ADELAIDE,PORT LINCOLN,2011,197494,7222,337401,1776612,246.0
315,ADELAIDE,SYDNEY,2011,1722650,12752,2073709,14881584,1167.0
354,ALBURY,SYDNEY,2011,241922,6647,368617,3004444,452.0
398,ALICE SPRINGS,MELBOURNE,2011,69500,575,92412,1069500,1860.0
459,AYERS ROCK,SYDNEY,2011,150296,1451,211309,3164631,2181.0
488,BALLINA,SYDNEY,2011,262922,3306,334214,2023272,612.0
527,BRISBANE,CAIRNS,2011,1108017,8713,1327768,12119783,1391.0
566,BRISBANE,CANBERRA,2011,622586,6636,833866,6344016,956.0
605,BRISBANE,DARWIN,2011,366183,2307,451579,6579564,2852.0
628,BRISBANE,GLADSTONE,2011,209825,4008,315816,1739472,434.0
657,BRISBANE,HAMILTON ISLAND,2011,168083,1364,229322,1211232,888.0
723,BRISBANE,MACKAY,2011,908907,8600,1109359,6854200,797.0
762,BRISBANE,MELBOURNE,2011,3090354,23503,3821864,32457643,1381.0
812,BRISBANE,NEWCASTLE,2011,582195,5673,707834,3483222,614.0
851,BRISBANE,PERTH,2011,867536,5074,1087228,18342510,3615.0
890,BRISBANE,PROSERPINE,2011,204813,1426,247293,1276270,895.0
929,BRISBANE,ROCKHAMPTON,2011,606229,8651,753035,4481218,518.0
968,BRISBANE,SYDNEY,2011,4406118,30902,5391568,23269206,753.0
1007,BRISBANE,TOWNSVILLE,2011,980244,8333,1223328,9266296,1112.0
1046,BROOME,PERTH,2011,309985,3456,419377,5795712,1677.0
1096,CAIRNS,MELBOURNE,2011,504766,3398,601283,7852778,2311.0
1135,CAIRNS,SYDNEY,2011,894385,6277,1096886,12371967,1971.0
1164,CAIRNS,TOWNSVILLE,2011,188785,5486,302410,1558024,284.0
1206,CANBERRA,MELBOURNE,2011,1065210,11485,1509684,5397950,470.0
1245,CANBERRA,SYDNEY,2011,1069058,18226,1628894,4301336,236.0
1284,COFFS HARBOUR,SYDNEY,2011,308061,4864,408609,2154752,443.0
1313,DARWIN,MELBOURNE,2011,295765,1947,367686,6096057,3131.0
1327,DARWIN,PERTH,2011,155315,1684,221984,4464284,2651.0
1436,DUBBO,SYDNEY,2011,173636,6399,254441,1983690,310.0
1448,GERALDTON,PERTH,2011,10638,292,19862,108040,370.0
1487,GOLD COAST,SYDNEY,2011,2244822,15452,2644268,10507360,680.0
1511,HAMILTON ISLAND,SYDNEY,2011,180757,1420,241331,2166920,1526.0
1560,HOBART,MELBOURNE,2011,1157946,8251,1349236,5099118,618.0
1589,HOBART,SYDNEY,2011,472772,3817,573967,3965863,1039.0
1628,KALGOORLIE,PERTH,2011,242915,2555,370711,1374590,538.0
1667,KARRATHA,PERTH,2011,679257,7218,1022977,9022500,1250.0
1706,LAUNCESTON,MELBOURNE,2011,790544,7971,982267,3794196,476.0
1735,LAUNCESTON,SYDNEY,2011,223144,1751,281166,1600414,914.0
1808,MELBOURNE,GOLD COAST,2011,1671298,11045,1972011,14689850,1330.0
1847,MELBOURNE,MILDURA,2011,193779,4845,283072,2214165,457.0
1881,MELBOURNE,NEWCASTLE,2011,429679,3249,562980,2716164,836.0
1920,MELBOURNE,PERTH,2011,1855898,11309,2249309,30602154,2706.0
1959,MELBOURNE,SYDNEY,2011,7728163,50891,9340382,35929046,706.0
1980,NEWCASTLE,GOLD COAST,2011,45108,316,55586,170324,539.0
1987,PERTH,NEWMAN,2011,250044,3081,384571,3139539,1019.0
2016,PERTH,PORT HEDLAND,2011,370137,4273,579230,5606176,1312.0
2055,PERTH,SYDNEY,2011,1731696,9444,2203031,31014096,3284.0
2070,PORT MACQUARIE,SYDNEY,2011,206392,4540,299438,1457340,321.0
2114,SUNSHINE COAST,MELBOURNE,2011,381958,2643,458127,3842922,1454.0
2153,SUNSHINE COAST,SYDNEY,2011,475096,3590,608815,3004830,837.0
2200,SYDNEY,TOWNSVILLE,2011,179541,1442,217575,2436980,1690.0
2239,SYDNEY,WAGGA WAGGA,2011,180040,5651,279567,2073917,367.0
