,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
19,ADELAIDE,ALICE SPRINGS,2003,83184,735,97779,967260,1316.0
58,ADELAIDE,BRISBANE,2003,434643,3663,516448,5941386,1622.0
99,ADELAIDE,CANBERRA,2003,127358,1300,177024,1263600,972.0
158,ADELAIDE,GOLD COAST,2003,108968,937,132373,1505759,1607.0
200,ADELAIDE,MELBOURNE,2003,1500570,12729,1852005,8184747,643.0
239,ADELAIDE,PERTH,2003,428196,3850,555609,8162000,2120.0
268,ADELAIDE,PORT LINCOLN,2003,100058,6179,156594,1520034,246.0
307,ADELAIDE,SYDNEY,2003,1300189,11431,1687519,13339977,1167.0
346,ALBURY,SYDNEY,2003,114576,4718,192243,2132536,452.0
429,ALICE SPRINGS,SYDNEY,2003,136455,1250,177831,2527500,2022.0
480,BALLINA,SYDNEY,2003,89033,3337,121037,2042244,612.0
519,BRISBANE,CAIRNS,2003,894544,7357,1121312,10233587,1391.0
558,BRISBANE,CANBERRA,2003,358157,4636,457713,4432016,956.0
597,BRISBANE,DARWIN,2003,222630,1654,277661,4717208,2852.0
649,BRISBANE,HAMILTON ISLAND,2003,99881,1178,135670,1046064,888.0
673,BRISBANE,HOBART,2003,21540,172,25824,308052,1791.0
715,BRISBANE,MACKAY,2003,359957,3854,477178,3071638,797.0
754,BRISBANE,MELBOURNE,2003,2315186,17740,2816692,24498940,1381.0
804,BRISBANE,NEWCASTLE,2003,54947,1897,74258,1164758,614.0
843,BRISBANE,PERTH,2003,301271,2180,359572,7880700,3615.0
882,BRISBANE,PROSERPINE,2003,73637,862,87324,771490,895.0
921,BRISBANE,ROCKHAMPTON,2003,296847,4016,405472,2080288,518.0
960,BRISBANE,SYDNEY,2003,3735918,26290,4665588,19796370,753.0
999,BRISBANE,TOWNSVILLE,2003,595593,5216,735119,5800192,1112.0
1038,BROOME,PERTH,2003,145248,2004,192075,3360708,1677.0
1088,CAIRNS,MELBOURNE,2003,191560,1534,234366,3545074,2311.0
1127,CAIRNS,SYDNEY,2003,838090,4651,1036684,9167121,1971.0
1156,CAIRNS,TOWNSVILLE,2003,96539,3485,147739,989740,284.0
1198,CANBERRA,MELBOURNE,2003,765201,9841,1035014,4625270,470.0
1237,CANBERRA,SYDNEY,2003,812768,19715,1245180,4652740,236.0
1276,COFFS HARBOUR,SYDNEY,2003,220658,5013,292627,2220759,443.0
1305,DARWIN,MELBOURNE,2003,36712,342,46967,1070802,3131.0
1358,DARWIN,SYDNEY,2003,151106,1132,194860,3571460,3155.0
1397,DEVONPORT,MELBOURNE,2003,106789,4280,152648,1763360,412.0
1428,DUBBO,SYDNEY,2003,116371,7172,233786,2223320,310.0
1479,GOLD COAST,SYDNEY,2003,1240145,8624,1384503,5864320,680.0
1552,HOBART,MELBOURNE,2003,877474,9029,1118498,5579922,618.0
1581,HOBART,SYDNEY,2003,201382,2176,251832,2260864,1039.0
1620,KALGOORLIE,PERTH,2003,151973,2842,245500,1528996,538.0
1659,KARRATHA,PERTH,2003,170087,2253,235238,2816250,1250.0
1698,LAUNCESTON,MELBOURNE,2003,503934,5135,643710,2444260,476.0
1727,LAUNCESTON,SYDNEY,2003,97634,1053,128915,962442,914.0
1769,MELBOURNE,BURNIE,2003,89954,3805,134347,1438290,378.0
1800,MELBOURNE,GOLD COAST,2003,740701,5954,859880,7918820,1330.0
1839,MELBOURNE,MILDURA,2003,102447,4941,173058,2258037,457.0
1873,MELBOURNE,NEWCASTLE,2003,62949,1954,83828,1633544,836.0
1912,MELBOURNE,PERTH,2003,1068800,7360,1365122,19916160,2706.0
1951,MELBOURNE,SYDNEY,2003,5629319,33746,6948536,23824676,706.0
2008,PERTH,PORT HEDLAND,2003,82126,1661,115007,2179232,1312.0
2047,PERTH,SYDNEY,2003,1108438,6861,1427614,22531524,3284.0
2106,SUNSHINE COAST,MELBOURNE,2003,113896,1094,137414,1590676,1454.0
2145,SUNSHINE COAST,SYDNEY,2003,263891,2395,304983,2004615,837.0
2192,SYDNEY,TOWNSVILLE,2003,94050,1017,118402,1718730,1690.0
2231,SYDNEY,WAGGA WAGGA,2003,101239,4967,176773,1822889,367.0
