,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
36,ADELAIDE,ALICE SPRINGS,2020,33665,470,59451,618520,1316.0
75,ADELAIDE,BRISBANE,2020,360358,3008,507079,4878976,1622.0
116,ADELAIDE,CANBERRA,2020,56057,575,93486,558900,972.0
175,ADELAIDE,GOLD COAST,2020,74379,536,96156,861352,1607.0
178,ADELAIDE,HOBART,2020,0,0,0,0,
217,ADELAIDE,MELBOURNE,2020,614056,6358,906438,4088194,643.0
256,ADELAIDE,PERTH,2020,159019,1690,240297,3582800,2120.0
285,ADELAIDE,PORT LINCOLN,2020,59197,2253,87366,554238,246.0
324,ADELAIDE,SYDNEY,2020,576882,5019,802544,5857173,1167.0
363,ALBURY,SYDNEY,2020,40351,1217,65837,550084,452.0
392,ALICE SPRINGS,DARWIN,2020,4726,88,8522,114840,1305.0
407,ALICE SPRINGS,MELBOURNE,2020,0,0,0,0,
446,ALICE SPRINGS,SYDNEY,2020,0,0,0,0,
455,ARMIDALE,SYDNEY,2020,22472,916,38538,349912,382.0
468,AYERS ROCK,SYDNEY,2020,29289,309,54628,673929,2181.0
497,BALLINA,SYDNEY,2020,354109,3092,443746,1892304,612.0
536,BRISBANE,CAIRNS,2020,728769,6791,937103,9446281,1391.0
575,BRISBANE,CANBERRA,2020,246928,2745,364005,2624220,956.0
614,BRISBANE,DARWIN,2020,159055,1441,219137,4109732,2852.0
625,BRISBANE,EMERALD,2020,54092,1362,90730,889386,653.0
637,BRISBANE,GLADSTONE,2020,85407,2154,163702,934836,434.0
666,BRISBANE,HAMILTON ISLAND,2020,101793,1000,146518,888000,888.0
690,BRISBANE,HOBART,2020,99697,707,122890,1266237,1791.0
693,BRISBANE,LAUNCESTON,2020,0,0,0,0,
732,BRISBANE,MACKAY,2020,395436,4570,593764,3642290,797.0
771,BRISBANE,MELBOURNE,2020,928760,8649,1279076,11944269,1381.0
781,BRISBANE,MORANBAH,2020,0,0,0,0,
792,BRISBANE,MOUNT ISA,2020,48844,647,84804,1017731,1573.0
821,BRISBANE,NEWCASTLE,2020,189236,2101,297429,1290014,614.0
860,BRISBANE,PERTH,2020,300312,2352,422122,8502480,3615.0
899,BRISBANE,PROSERPINE,2020,165222,1295,217738,1159025,895.0
938,BRISBANE,ROCKHAMPTON,2020,255386,4411,406535,2284898,518.0
977,BRISBANE,SYDNEY,2020,1299668,12608,1809466,9493824,753.0
1016,BRISBANE,TOWNSVILLE,2020,509579,4756,712234,5288672,1112.0
1055,BROOME,PERTH,2020,224494,2374,329206,3981198,1677.0
1065,BUNDABERG,BRISBANE,2020,30795,796,49178,228452,287.0
1105,CAIRNS,MELBOURNE,2020,161421,1096,209715,2532856,2311.0
1144,CAIRNS,SYDNEY,2020,243258,1798,340619,3543858,1971.0
1173,CAIRNS,TOWNSVILLE,2020,28063,1059,65212,300756,284.0
1176,CANBERRA,GOLD COAST,2020,0,0,0,0,
1215,CANBERRA,MELBOURNE,2020,275300,3316,477106,1558520,470.0
1254,CANBERRA,SYDNEY,2020,165588,3283,246128,774788,236.0
1293,COFFS HARBOUR,SYDNEY,2020,86727,1583,130679,701269,443.0
1322,DARWIN,MELBOURNE,2020,55260,432,76248,1352592,3131.0
1336,DARWIN,PERTH,2020,32782,348,59912,922548,2651.0
1375,DARWIN,SYDNEY,2020,50819,424,75000,1337720,3155.0
1445,DUBBO,SYDNEY,2020,35434,1292,59571,400520,310.0
1457,GERALDTON,PERTH,2020,0,0,0,0,
1496,GOLD COAST,SYDNEY,2020,706514,5024,879424,3416320,680.0
1506,HAMILTON ISLAND,MELBOURNE,2020,17532,164,28327,322260,1965.0
1520,HAMILTON ISLAND,SYDNEY,2020,51626,439,70312,669914,1526.0
1569,HOBART,MELBOURNE,2020,446862,3304,596647,2041872,618.0
1598,HOBART,SYDNEY,2020,236463,2064,343020,2144496,1039.0
1637,KALGOORLIE,PERTH,2020,157375,2260,295593,1215880,538.0
1676,KARRATHA,PERTH,2020,272316,3420,508632,4275000,1250.0
1715,LAUNCESTON,MELBOURNE,2020,266652,2701,351826,1285676,476.0
1744,LAUNCESTON,SYDNEY,2020,99436,746,133069,681844,914.0
1747,MELBOURNE,BALLINA,2020,0,0,0,0,
1817,MELBOURNE,GOLD COAST,2020,513586,3243,612936,4313190,1330.0
1856,MELBOURNE,MILDURA,2020,45190,1010,77515,461570,457.0
1890,MELBOURNE,NEWCASTLE,2020,125184,905,165109,756580,836.0
1929,MELBOURNE,PERTH,2020,552171,4745,814694,12839970,2706.0
1968,MELBOURNE,SYDNEY,2020,2249844,19048,3072151,13447888,706.0
1974,MELBOURNE,TOWNSVILLE,2020,0,0,0,0,
1996,PERTH,NEWMAN,2020,166772,2230,338228,2272370,1019.0
2025,PERTH,PORT HEDLAND,2020,209749,2717,381482,3564704,1312.0
2064,PERTH,SYDNEY,2020,437706,3095,662223,10163980,3284.0
2079,PORT MACQUARIE,SYDNEY,2020,39097,912,55788,292752,321.0
2085,PROSERPINE,SYDNEY,2020,10090,64,11652,97088,1517.0
2123,SUNSHINE COAST,MELBOURNE,2020,134291,906,160116,1317324,1454.0
2162,SUNSHINE COAST,SYDNEY,2020,153363,1240,195758,1037880,837.0
2170,SYDNEY,TAMWORTH,2020,35664,1017,62140,325440,320.0
2209,SYDNEY,TOWNSVILLE,2020,29036,226,38892,381940,1690.0
2248,SYDNEY,WAGGA WAGGA,2020,34167,1102,55900,404434,367.0
