,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
33,ADELAIDE,ALICE SPRINGS,2017,124466,1201,181752,1580516,1316.0
72,ADELAIDE,BRISBANE,2017,849643,6710,1108960,10883620,1622.0
113,ADELAIDE,CANBERRA,2017,181576,1715,283584,1666980,972.0
172,ADELAIDE,GOLD COAST,2017,214185,1481,261675,2379967,1607.0
214,ADELAIDE,MELBOURNE,2017,2456426,19127,3053261,12298661,643.0
253,ADELAIDE,PERTH,2017,614141,5465,838360,11585800,2120.0
282,ADELAIDE,PORT LINCOLN,2017,171499,7418,288122,1824828,246.0
321,ADELAIDE,SYDNEY,2017,1898268,13931,2315750,16257477,1167.0
360,ALBURY,SYDNEY,2017,224025,6054,333340,2736408,452.0
389,ALICE SPRINGS,DARWIN,2017,118772,1766,211450,2304630,1305.0
404,ALICE SPRINGS,MELBOURNE,2017,0,0,0,0,
443,ALICE SPRINGS,SYDNEY,2017,0,0,0,0,
452,ARMIDALE,SYDNEY,2017,126175,4410,184069,1684620,382.0
465,AYERS ROCK,SYDNEY,2017,191479,1391,245654,3033771,2181.0
494,BALLINA,SYDNEY,2017,403943,3304,499786,2022048,612.0
533,BRISBANE,CAIRNS,2017,1377900,10168,1627045,14143688,1391.0
572,BRISBANE,CANBERRA,2017,594258,6083,846598,5815348,956.0
611,BRISBANE,DARWIN,2017,406183,3084,504799,8795568,2852.0
622,BRISBANE,EMERALD,2017,197570,4049,301507,2643997,653.0
634,BRISBANE,GLADSTONE,2017,281617,5234,390742,2271556,434.0
663,BRISBANE,HAMILTON ISLAND,2017,128206,1535,187791,1363080,888.0
687,BRISBANE,HOBART,2017,212708,1424,250921,2550384,1791.0
729,BRISBANE,MACKAY,2017,697915,7202,879901,5739994,797.0
768,BRISBANE,MELBOURNE,2017,3541071,25806,4367758,35638086,1381.0
778,BRISBANE,MORANBAH,2017,90363,2292,158911,1787760,780.0
789,BRISBANE,MOUNT ISA,2017,125273,1835,186481,2886455,1573.0
818,BRISBANE,NEWCASTLE,2017,590663,6138,801944,3768732,614.0
857,BRISBANE,PERTH,2017,969064,5911,1183684,21368265,3615.0
896,BRISBANE,PROSERPINE,2017,259500,1805,319266,1615475,895.0
935,BRISBANE,ROCKHAMPTON,2017,522058,7948,634335,4117064,518.0
974,BRISBANE,SYDNEY,2017,4746256,35401,5749641,26656953,753.0
1013,BRISBANE,TOWNSVILLE,2017,960180,8857,1251188,9848984,1112.0
1052,BROOME,PERTH,2017,313383,3673,420767,6159621,1677.0
1062,BUNDABERG,BRISBANE,2017,173864,3773,233943,1082851,287.0
1102,CAIRNS,MELBOURNE,2017,841314,5203,984770,12024133,2311.0
1141,CAIRNS,SYDNEY,2017,1129324,7321,1333175,14429691,1971.0
1170,CAIRNS,TOWNSVILLE,2017,141812,4541,274648,1289644,284.0
1212,CANBERRA,MELBOURNE,2017,1132954,11330,1714810,5325100,470.0
1251,CANBERRA,SYDNEY,2017,949178,16208,1297060,3825088,236.0
1290,COFFS HARBOUR,SYDNEY,2017,347191,5086,474082,2253098,443.0
1319,DARWIN,MELBOURNE,2017,306327,2168,381107,6788008,3131.0
1333,DARWIN,PERTH,2017,198365,1551,257471,4111701,2651.0
1372,DARWIN,SYDNEY,2017,321654,2570,434595,8108350,3155.0
1442,DUBBO,SYDNEY,2017,190801,6174,281209,1913940,310.0
1454,GERALDTON,PERTH,2017,111936,2305,230500,852850,370.0
1493,GOLD COAST,SYDNEY,2017,2740745,18038,3170494,12265840,680.0
1503,HAMILTON ISLAND,MELBOURNE,2017,27958,221,37921,434265,1965.0
1517,HAMILTON ISLAND,SYDNEY,2017,196023,1784,296881,2722384,1526.0
1566,HOBART,MELBOURNE,2017,1630259,12161,1990585,7515498,618.0
1595,HOBART,SYDNEY,2017,655850,4861,784902,5050579,1039.0
1634,KALGOORLIE,PERTH,2017,241869,3436,415434,1848568,538.0
1673,KARRATHA,PERTH,2017,436887,6170,691071,7712500,1250.0
1712,LAUNCESTON,MELBOURNE,2017,923152,8921,1158819,4246396,476.0
1741,LAUNCESTON,SYDNEY,2017,286425,1940,334414,1773160,914.0
1814,MELBOURNE,GOLD COAST,2017,2012590,12389,2326650,16477370,1330.0
1853,MELBOURNE,MILDURA,2017,212012,4864,334908,2222848,457.0
1887,MELBOURNE,NEWCASTLE,2017,476066,3378,603360,2824008,836.0
1926,MELBOURNE,PERTH,2017,2033242,11110,2429229,30063660,2706.0
1965,MELBOURNE,SYDNEY,2017,9097339,60075,10773036,42412950,706.0
1971,MELBOURNE,TOWNSVILLE,2017,54239,372,66512,764460,2055.0
1993,PERTH,NEWMAN,2017,284874,3957,537884,4032183,1019.0
2022,PERTH,PORT HEDLAND,2017,337347,4428,530004,5809536,1312.0
2061,PERTH,SYDNEY,2017,1716477,9031,2094426,29657804,3284.0
2076,PORT MACQUARIE,SYDNEY,2017,192323,4376,256187,1404696,321.0
2082,PROSERPINE,SYDNEY,2017,47414,324,58332,491508,1517.0
2120,SUNSHINE COAST,MELBOURNE,2017,485776,3220,568240,4681880,1454.0
2159,SUNSHINE COAST,SYDNEY,2017,582671,4380,723973,3666060,837.0
2167,SYDNEY,TAMWORTH,2017,180730,4538,286103,1452160,320.0
2206,SYDNEY,TOWNSVILLE,2017,160561,1239,205525,2093910,1690.0
2245,SYDNEY,WAGGA WAGGA,2017,182763,5502,287234,2019234,367.0
