,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
11,ADELAIDE,ALICE SPRINGS,1995,153763,1491,191606,1962156,1316.0
50,ADELAIDE,BRISBANE,1995,138581,1402,178899,2274044,1622.0
91,ADELAIDE,CANBERRA,1995,69937,889,103534,864108,972.0
130,ADELAIDE,DARWIN,1995,125137,1465,180451,3836835,2619.0
153,ADELAIDE,GOLD COAST,1995,735,7,860,11249,1607.0
192,ADELAIDE,MELBOURNE,1995,1241782,13170,1713869,8468310,643.0
231,ADELAIDE,PERTH,1995,399296,3865,551815,8193800,2120.0
260,ADELAIDE,PORT LINCOLN,1995,86673,5641,142589,1387686,246.0
299,ADELAIDE,SYDNEY,1995,1004714,10143,1366923,11836881,1167.0
338,ALBURY,SYDNEY,1995,112130,4547,172479,2055244,452.0
377,ALICE SPRINGS,DARWIN,1995,155816,1734,226171,2262870,1305.0
421,ALICE SPRINGS,SYDNEY,1995,174274,1660,211165,3356520,2022.0
472,BALLINA,SYDNEY,1995,75354,2097,104257,1283364,612.0
511,BRISBANE,CAIRNS,1995,977782,9076,1400039,12624716,1391.0
550,BRISBANE,CANBERRA,1995,174366,3443,282435,3291508,956.0
589,BRISBANE,DARWIN,1995,154591,1545,209483,4406340,2852.0
641,BRISBANE,HAMILTON ISLAND,1995,100540,1519,151238,1348872,888.0
669,BRISBANE,HOBART,1995,124,1,139,1791,1791.0
707,BRISBANE,MACKAY,1995,216772,4624,315928,3685328,797.0
746,BRISBANE,MELBOURNE,1995,1316635,12752,1695818,17610512,1381.0
796,BRISBANE,NEWCASTLE,1995,11291,974,20007,598036,614.0
835,BRISBANE,PERTH,1995,11989,115,16524,415725,3615.0
874,BRISBANE,PROSERPINE,1995,88130,1746,118572,1562670,895.0
913,BRISBANE,ROCKHAMPTON,1995,239738,5591,347203,2896138,518.0
952,BRISBANE,SYDNEY,1995,3027321,26136,4550640,19680408,753.0
991,BRISBANE,TOWNSVILLE,1995,417425,4844,566341,5386528,1112.0
1030,BROOME,PERTH,1995,96391,2050,135418,3437850,1677.0
1080,CAIRNS,MELBOURNE,1995,50528,445,68578,1028395,2311.0
1119,CAIRNS,SYDNEY,1995,609933,4671,887414,9206541,1971.0
1148,CAIRNS,TOWNSVILLE,1995,112515,5256,180240,1492704,284.0
1190,CANBERRA,MELBOURNE,1995,683061,9335,1053790,4387450,470.0
1229,CANBERRA,SYDNEY,1995,792300,17945,1293783,4235020,236.0
1268,COFFS HARBOUR,SYDNEY,1995,149270,4634,215898,2052862,443.0
1297,DARWIN,MELBOURNE,1995,1942,16,2833,50096,3131.0
1350,DARWIN,SYDNEY,1995,71044,881,110225,2779555,3155.0
1389,DEVONPORT,MELBOURNE,1995,123900,4980,178329,2051760,412.0
1420,DUBBO,SYDNEY,1995,107310,6078,179507,1884180,310.0
1471,GOLD COAST,SYDNEY,1995,1341729,13200,1738525,8976000,680.0
1544,HOBART,MELBOURNE,1995,714707,7843,938835,4846974,618.0
1573,HOBART,SYDNEY,1995,103632,1575,140218,1636425,1039.0
1612,KALGOORLIE,PERTH,1995,159935,4423,249557,2379574,538.0
1651,KARRATHA,PERTH,1995,152774,3893,256697,4866250,1250.0
1690,LAUNCESTON,MELBOURNE,1995,497526,6900,661192,3284400,476.0
1719,LAUNCESTON,SYDNEY,1995,45202,745,58178,680930,914.0
1761,MELBOURNE,BURNIE,1995,91831,4057,144232,1533546,378.0
1792,MELBOURNE,GOLD COAST,1995,528410,4616,657203,6139280,1330.0
1831,MELBOURNE,MILDURA,1995,71692,4028,115808,1840796,457.0
1866,MELBOURNE,NEWCASTLE,1995,15219,1032,29928,862752,836.0
1904,MELBOURNE,PERTH,1995,773711,6087,994661,16471422,2706.0
1943,MELBOURNE,SYDNEY,1995,4595279,33865,6545588,23908690,706.0
2000,PERTH,PORT HEDLAND,1995,82909,2255,148218,2958560,1312.0
2039,PERTH,SYDNEY,1995,762461,5623,981733,18465932,3284.0
2098,SUNSHINE COAST,MELBOURNE,1995,34447,415,44964,603410,1454.0
2137,SUNSHINE COAST,SYDNEY,1995,187555,2312,244391,1935144,837.0
2184,SYDNEY,TOWNSVILLE,1995,26868,312,37230,527280,1690.0
2223,SYDNEY,WAGGA WAGGA,1995,99943,4507,159288,1654069,367.0
