,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
69,ADELAIDE,BRISBANE,2014,776650,6366,1006652,10325652,1622.0
110,ADELAIDE,CANBERRA,2014,176264,2120,269940,2060640,972.0
169,ADELAIDE,GOLD COAST,2014,215347,1570,277069,2522990,1607.0
211,ADELAIDE,MELBOURNE,2014,2272036,18953,2907783,12186779,643.0
250,ADELAIDE,PERTH,2014,616369,5475,769488,11607000,2120.0
279,ADELAIDE,PORT LINCOLN,2014,190827,7049,326352,1734054,246.0
318,ADELAIDE,SYDNEY,2014,1813027,14054,2325964,16401018,1167.0
357,ALBURY,SYDNEY,2014,225418,6405,338355,2895060,452.0
401,ALICE SPRINGS,MELBOURNE,2014,79560,698,110154,1298280,1860.0
440,ALICE SPRINGS,SYDNEY,2014,83196,679,111851,1372938,2022.0
449,ARMIDALE,SYDNEY,2014,85319,3294,140332,1258308,382.0
462,AYERS ROCK,SYDNEY,2014,144532,1296,190829,2826576,2181.0
491,BALLINA,SYDNEY,2014,320266,2900,413040,1774800,612.0
530,BRISBANE,CAIRNS,2014,1255826,9752,1547459,13565032,1391.0
569,BRISBANE,CANBERRA,2014,560155,6140,762951,5869840,956.0
608,BRISBANE,DARWIN,2014,391467,2869,553955,8182388,2852.0
619,BRISBANE,EMERALD,2014,249059,5745,412108,3751485,653.0
631,BRISBANE,GLADSTONE,2014,456413,8948,765141,3883432,434.0
660,BRISBANE,HAMILTON ISLAND,2014,140896,1088,182914,966144,888.0
684,BRISBANE,HOBART,2014,190466,1420,242781,2543220,1791.0
726,BRISBANE,MACKAY,2014,743704,8028,1060876,6398316,797.0
765,BRISBANE,MELBOURNE,2014,3317132,25132,4200815,34707292,1381.0
775,BRISBANE,MORANBAH,2014,172573,5103,357722,3980340,780.0
786,BRISBANE,MOUNT ISA,2014,149466,1955,277931,3075215,1573.0
815,BRISBANE,NEWCASTLE,2014,570280,5984,735760,3674176,614.0
854,BRISBANE,PERTH,2014,1061959,5473,1312039,19784895,3615.0
893,BRISBANE,PROSERPINE,2014,233234,1930,304061,1727350,895.0
932,BRISBANE,ROCKHAMPTON,2014,612586,10032,887111,5196576,518.0
971,BRISBANE,SYDNEY,2014,4447948,33319,5593311,25089207,753.0
1010,BRISBANE,TOWNSVILLE,2014,948227,8891,1350334,9886792,1112.0
1049,BROOME,PERTH,2014,300328,3334,446089,5591118,1677.0
1059,BUNDABERG,BRISBANE,2014,158490,3734,245196,1071658,287.0
1099,CAIRNS,MELBOURNE,2014,711752,4643,866374,10729973,2311.0
1138,CAIRNS,SYDNEY,2014,1000914,6765,1205643,13333815,1971.0
1167,CAIRNS,TOWNSVILLE,2014,10184,386,22232,109624,284.0
1209,CANBERRA,MELBOURNE,2014,972252,10892,1435849,5119240,470.0
1248,CANBERRA,SYDNEY,2014,968197,18940,1526166,4469840,236.0
1287,COFFS HARBOUR,SYDNEY,2014,344396,5353,454659,2371379,443.0
1316,DARWIN,MELBOURNE,2014,285484,2124,356043,6650244,3131.0
1330,DARWIN,PERTH,2014,180970,1526,245098,4045426,2651.0
1369,DARWIN,SYDNEY,2014,327262,2729,454578,8609995,3155.0
1439,DUBBO,SYDNEY,2014,196817,6388,301838,1980280,310.0
1451,GERALDTON,PERTH,2014,128400,3555,212701,1315350,370.0
1490,GOLD COAST,SYDNEY,2014,2595167,18450,3185671,12546000,680.0
1500,HAMILTON ISLAND,MELBOURNE,2014,117235,889,158095,1746885,1965.0
1514,HAMILTON ISLAND,SYDNEY,2014,209910,1517,267711,2314942,1526.0
1563,HOBART,MELBOURNE,2014,1400213,11109,1779643,6865362,618.0
1592,HOBART,SYDNEY,2014,536370,4026,659458,4183014,1039.0
1631,KALGOORLIE,PERTH,2014,217094,3357,396641,1806066,538.0
1670,KARRATHA,PERTH,2014,686260,8066,1166354,10082500,1250.0
1709,LAUNCESTON,MELBOURNE,2014,878278,9210,1120995,4383960,476.0
1738,LAUNCESTON,SYDNEY,2014,295707,2157,381021,1971498,914.0
1811,MELBOURNE,GOLD COAST,2014,1754009,11072,2046234,14725760,1330.0
1850,MELBOURNE,MILDURA,2014,196058,4750,292716,2170750,457.0
1884,MELBOURNE,NEWCASTLE,2014,434901,3150,552468,2633400,836.0
1923,MELBOURNE,PERTH,2014,2160701,12478,2821733,33765468,2706.0
1962,MELBOURNE,SYDNEY,2014,8316916,56012,10069814,39544472,706.0
1990,PERTH,NEWMAN,2014,369584,4532,699277,4618108,1019.0
2019,PERTH,PORT HEDLAND,2014,488666,5072,781671,6654464,1312.0
2058,PERTH,SYDNEY,2014,1798860,8933,2267489,29335972,3284.0
2073,PORT MACQUARIE,SYDNEY,2014,187753,4659,266259,1495539,321.0
2117,SUNSHINE COAST,MELBOURNE,2014,397570,2726,486513,3963604,1454.0
2156,SUNSHINE COAST,SYDNEY,2014,464120,3167,562542,2650779,837.0
2203,SYDNEY,TOWNSVILLE,2014,173852,1340,220396,2264600,1690.0
2242,SYDNEY,WAGGA WAGGA,2014,185581,5644,278388,2071348,367.0
