,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
1,ADELAIDE,ALICE SPRINGS,1985,161697,1494,210157,1966104,1316.0
40,ADELAIDE,BRISBANE,1985,39417,451,54287,731522,1622.0
81,ADELAIDE,CANBERRA,1985,24223,307,35662,298404,972.0
120,ADELAIDE,DARWIN,1985,27977,267,39171,699273,2619.0
143,ADELAIDE,GOLD COAST,1985,14611,199,22610,319793,1607.0
182,ADELAIDE,MELBOURNE,1985,719835,8243,1023768,5300249,643.0
221,ADELAIDE,PERTH,1985,207737,1638,249222,3472560,2120.0
289,ADELAIDE,SYDNEY,1985,430329,4384,576891,5116128,1167.0
328,ALBURY,SYDNEY,1985,147440,3012,186380,1361424,452.0
367,ALICE SPRINGS,DARWIN,1985,116279,1165,167801,1520325,1305.0
411,ALICE SPRINGS,SYDNEY,1985,49619,529,70319,1069638,2022.0
501,BRISBANE,CAIRNS,1985,25320,339,35803,471549,1391.0
540,BRISBANE,CANBERRA,1985,7695,126,13151,120456,956.0
579,BRISBANE,DARWIN,1985,34332,297,47583,847044,2852.0
697,BRISBANE,MACKAY,1985,12441,298,18966,237506,797.0
736,BRISBANE,MELBOURNE,1985,380261,4170,494479,5758770,1381.0
825,BRISBANE,PERTH,1985,5433,52,7756,187980,3615.0
864,BRISBANE,PROSERPINE,1985,61035,951,96910,851145,895.0
903,BRISBANE,ROCKHAMPTON,1985,257057,3493,340905,1809374,518.0
942,BRISBANE,SYDNEY,1985,1178188,11552,1662018,8698656,753.0
981,BRISBANE,TOWNSVILLE,1985,425605,4640,503104,5159680,1112.0
1020,BROOME,PERTH,1985,6941,134,8934,224718,1677.0
1070,CAIRNS,MELBOURNE,1985,32,2,211,4622,2311.0
1109,CAIRNS,SYDNEY,1985,3088,43,5077,84753,1971.0
1180,CANBERRA,MELBOURNE,1985,368997,5011,586127,2355170,470.0
1219,CANBERRA,SYDNEY,1985,569843,9798,922608,2312328,236.0
1258,COFFS HARBOUR,SYDNEY,1985,77599,2095,106769,928085,443.0
1340,DARWIN,SYDNEY,1985,2150,25,3624,78875,3155.0
1379,DEVONPORT,MELBOURNE,1985,122219,3635,164059,1497620,412.0
1410,DUBBO,SYDNEY,1985,70053,1869,97477,579390,310.0
1461,GOLD COAST,SYDNEY,1985,453681,5362,603066,3646160,680.0
1534,HOBART,MELBOURNE,1985,303385,4257,437111,2630826,618.0
1602,KALGOORLIE,PERTH,1985,83461,2869,118955,1543522,538.0
1641,KARRATHA,PERTH,1985,126197,2773,186980,3466250,1250.0
1680,LAUNCESTON,MELBOURNE,1985,391614,7123,560222,3390548,476.0
1751,MELBOURNE,BURNIE,1985,81357,2683,109840,1014174,378.0
1782,MELBOURNE,GOLD COAST,1985,184216,1596,228277,2122680,1330.0
1821,MELBOURNE,MILDURA,1985,44469,3775,103603,1725175,457.0
1860,MELBOURNE,NEWCASTLE,1985,911,14,1493,11704,836.0
1894,MELBOURNE,PERTH,1985,334159,3065,416144,8293890,2706.0
1933,MELBOURNE,SYDNEY,1985,2031774,18105,2859095,12782130,706.0
2029,PERTH,SYDNEY,1985,190736,1547,236100,5080348,3284.0
2088,SUNSHINE COAST,MELBOURNE,1985,9973,246,13528,357684,1454.0
2127,SUNSHINE COAST,SYDNEY,1985,63918,1466,92325,1227042,837.0
2174,SYDNEY,TOWNSVILLE,1985,74196,807,87553,1363830,1690.0
2213,SYDNEY,WAGGA WAGGA,1985,63732,1952,100204,716384,367.0
