,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
9,ADELAIDE,ALICE SPRINGS,1993,153567,1493,179735,1964788,1316.0
48,ADELAIDE,BRISBANE,1993,113095,1276,147200,2069672,1622.0
89,ADELAIDE,CANBERRA,1993,56106,769,87760,747468,972.0
128,ADELAIDE,DARWIN,1993,86741,907,109624,2375433,2619.0
151,ADELAIDE,GOLD COAST,1993,5170,59,6499,94813,1607.0
190,ADELAIDE,MELBOURNE,1993,1105874,11952,1458755,7685136,643.0
229,ADELAIDE,PERTH,1993,319222,3017,405194,6396040,2120.0
297,ADELAIDE,SYDNEY,1993,810403,8462,1050729,9875154,1167.0
336,ALBURY,SYDNEY,1993,79493,2763,112935,1248876,452.0
375,ALICE SPRINGS,DARWIN,1993,152364,1668,208815,2176740,1305.0
419,ALICE SPRINGS,SYDNEY,1993,166167,1577,199791,3188694,2022.0
509,BRISBANE,CAIRNS,1993,728845,6817,884542,9482447,1391.0
548,BRISBANE,CANBERRA,1993,64790,1391,99772,1329796,956.0
587,BRISBANE,DARWIN,1993,127319,1465,171987,4178180,2852.0
705,BRISBANE,MACKAY,1993,152843,3331,222510,2654807,797.0
744,BRISBANE,MELBOURNE,1993,1003908,10055,1213393,13885955,1381.0
833,BRISBANE,PERTH,1993,8537,73,9764,263895,3615.0
872,BRISBANE,PROSERPINE,1993,63104,1189,83439,1064155,895.0
911,BRISBANE,ROCKHAMPTON,1993,223839,5288,325557,2739184,518.0
950,BRISBANE,SYDNEY,1993,2514860,21356,3350258,16081068,753.0
989,BRISBANE,TOWNSVILLE,1993,382069,4539,493024,5047368,1112.0
1028,BROOME,PERTH,1993,47894,831,59023,1393587,1677.0
1078,CAIRNS,MELBOURNE,1993,33852,319,40707,737209,2311.0
1117,CAIRNS,SYDNEY,1993,430474,3004,526897,5920884,1971.0
1188,CANBERRA,MELBOURNE,1993,555043,8052,888286,3784440,470.0
1227,CANBERRA,SYDNEY,1993,741167,15868,1226523,3744848,236.0
1266,COFFS HARBOUR,SYDNEY,1993,131212,3968,197984,1757824,443.0
1348,DARWIN,SYDNEY,1993,2598,26,3108,82030,3155.0
1387,DEVONPORT,MELBOURNE,1993,111059,4683,166881,1929396,412.0
1418,DUBBO,SYDNEY,1993,85359,4121,138318,1277510,310.0
1469,GOLD COAST,SYDNEY,1993,1158169,13059,1498517,8880120,680.0
1542,HOBART,MELBOURNE,1993,592905,7737,825237,4781466,618.0
1610,KALGOORLIE,PERTH,1993,104233,2999,143007,1613462,538.0
1649,KARRATHA,PERTH,1993,129587,2411,173199,3013750,1250.0
1688,LAUNCESTON,MELBOURNE,1993,420740,7242,561860,3447192,476.0
1759,MELBOURNE,BURNIE,1993,70782,2871,100019,1085238,378.0
1790,MELBOURNE,GOLD COAST,1993,415305,3769,502934,5012770,1330.0
1829,MELBOURNE,MILDURA,1993,57611,3798,89575,1735686,457.0
1902,MELBOURNE,PERTH,1993,638178,5734,775937,15516204,2706.0
1941,MELBOURNE,SYDNEY,1993,3768688,30394,5228354,21458164,706.0
2037,PERTH,SYDNEY,1993,615998,4805,779429,15779620,3284.0
2096,SUNSHINE COAST,MELBOURNE,1993,15749,211,19693,306794,1454.0
2135,SUNSHINE COAST,SYDNEY,1993,158210,1973,199396,1651401,837.0
2182,SYDNEY,TOWNSVILLE,1993,794,9,905,15210,1690.0
2221,SYDNEY,WAGGA WAGGA,1993,85150,3074,128930,1128158,367.0
