,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
12,ADELAIDE,ALICE SPRINGS,1996,155102,1483,200439,1951628,1316.0
51,ADELAIDE,BRISBANE,1996,155358,1525,196666,2473550,1622.0
92,ADELAIDE,CANBERRA,1996,87143,1219,143373,1184868,972.0
131,ADELAIDE,DARWIN,1996,140484,1627,208274,4261113,2619.0
154,ADELAIDE,GOLD COAST,1996,404,4,457,6428,1607.0
193,ADELAIDE,MELBOURNE,1996,1283003,14143,1865400,9093949,643.0
232,ADELAIDE,PERTH,1996,413167,4307,590914,9130840,2120.0
261,ADELAIDE,PORT LINCOLN,1996,92236,6166,149545,1516836,246.0
300,ADELAIDE,SYDNEY,1996,1015598,10573,1410894,12338691,1167.0
339,ALBURY,SYDNEY,1996,115641,4837,164486,2186324,452.0
378,ALICE SPRINGS,DARWIN,1996,151114,1776,226226,2317680,1305.0
422,ALICE SPRINGS,SYDNEY,1996,150014,1570,192830,3174540,2022.0
473,BALLINA,SYDNEY,1996,81760,2234,120609,1367208,612.0
512,BRISBANE,CAIRNS,1996,1053397,9143,1464125,12717913,1391.0
551,BRISBANE,CANBERRA,1996,185442,3616,309528,3456896,956.0
590,BRISBANE,DARWIN,1996,155488,1567,205148,4469084,2852.0
642,BRISBANE,HAMILTON ISLAND,1996,106117,1469,170308,1304472,888.0
708,BRISBANE,MACKAY,1996,232252,4629,354313,3689313,797.0
747,BRISBANE,MELBOURNE,1996,1459783,14249,1939485,19677869,1381.0
797,BRISBANE,NEWCASTLE,1996,19393,1923,36537,1180722,614.0
836,BRISBANE,PERTH,1996,20087,192,26986,694080,3615.0
875,BRISBANE,PROSERPINE,1996,88330,1591,119162,1423945,895.0
914,BRISBANE,ROCKHAMPTON,1996,245443,5586,380252,2893548,518.0
953,BRISBANE,SYDNEY,1996,3160219,26716,4660614,20117148,753.0
992,BRISBANE,TOWNSVILLE,1996,423170,4910,580416,5459920,1112.0
1031,BROOME,PERTH,1996,118769,2517,164049,4221009,1677.0
1081,CAIRNS,MELBOURNE,1996,55636,525,80656,1213275,2311.0
1120,CAIRNS,SYDNEY,1996,656224,4772,942934,9405612,1971.0
1149,CAIRNS,TOWNSVILLE,1996,109017,5877,191113,1669068,284.0
1191,CANBERRA,MELBOURNE,1996,671601,9431,1119365,4432570,470.0
1230,CANBERRA,SYDNEY,1996,778882,21058,1373434,4969688,236.0
1269,COFFS HARBOUR,SYDNEY,1996,154192,4921,244810,2180003,443.0
1298,DARWIN,MELBOURNE,1996,1470,9,1782,28179,3131.0
1351,DARWIN,SYDNEY,1996,91958,1072,127287,3382160,3155.0
1390,DEVONPORT,MELBOURNE,1996,119037,5067,182068,2087604,412.0
1421,DUBBO,SYDNEY,1996,113228,6716,180186,2081960,310.0
1472,GOLD COAST,SYDNEY,1996,1383841,13205,1803077,8979400,680.0
1545,HOBART,MELBOURNE,1996,757999,7919,1011382,4893942,618.0
1574,HOBART,SYDNEY,1996,87637,1165,122635,1210435,1039.0
1613,KALGOORLIE,PERTH,1996,182390,4119,291684,2216022,538.0
1652,KARRATHA,PERTH,1996,153183,3871,257437,4838750,1250.0
1691,LAUNCESTON,MELBOURNE,1996,517998,6857,719779,3263932,476.0
1720,LAUNCESTON,SYDNEY,1996,49627,700,68170,639800,914.0
1762,MELBOURNE,BURNIE,1996,95670,4316,154128,1631448,378.0
1793,MELBOURNE,GOLD COAST,1996,579919,4722,695679,6280260,1330.0
1832,MELBOURNE,MILDURA,1996,85426,3993,116215,1824801,457.0
1905,MELBOURNE,PERTH,1996,837668,6867,1085668,18582102,2706.0
1944,MELBOURNE,SYDNEY,1996,4797072,34994,6808491,24705764,706.0
2001,PERTH,PORT HEDLAND,1996,89894,2886,186379,3786432,1312.0
2040,PERTH,SYDNEY,1996,843229,6482,1120518,21286888,3284.0
2099,SUNSHINE COAST,MELBOURNE,1996,37196,400,45547,581600,1454.0
2138,SUNSHINE COAST,SYDNEY,1996,188105,2015,230815,1686555,837.0
2185,SYDNEY,TOWNSVILLE,1996,39361,461,54618,779090,1690.0
2224,SYDNEY,WAGGA WAGGA,1996,115070,5219,170307,1915373,367.0
