,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
32,ADELAIDE,ALICE SPRINGS,2016,120714,1143,180614,1504188,1316.0
71,ADELAIDE,BRISBANE,2016,830335,6784,1108481,11003648,1622.0
112,ADELAIDE,CANBERRA,2016,174046,1719,255714,1670868,972.0
171,ADELAIDE,GOLD COAST,2016,221536,1589,280326,2553523,1607.0
213,ADELAIDE,MELBOURNE,2016,2393883,19374,3029288,12457482,643.0
252,ADELAIDE,PERTH,2016,617103,5675,864295,12031000,2120.0
281,ADELAIDE,PORT LINCOLN,2016,178895,7444,290226,1831224,246.0
320,ADELAIDE,SYDNEY,2016,1871990,14114,2317139,16471038,1167.0
359,ALBURY,SYDNEY,2016,225142,6273,345192,2835396,452.0
388,ALICE SPRINGS,DARWIN,2016,116389,1733,213847,2261565,1305.0
403,ALICE SPRINGS,MELBOURNE,2016,0,0,0,0,
442,ALICE SPRINGS,SYDNEY,2016,0,0,0,0,
451,ARMIDALE,SYDNEY,2016,127655,4589,195510,1752998,382.0
464,AYERS ROCK,SYDNEY,2016,184097,1395,232658,3042495,2181.0
493,BALLINA,SYDNEY,2016,385205,3195,471595,1955340,612.0
532,BRISBANE,CAIRNS,2016,1346922,10173,1629347,14150643,1391.0
571,BRISBANE,CANBERRA,2016,576133,5925,794642,5664300,956.0
610,BRISBANE,DARWIN,2016,407688,3162,518970,9018024,2852.0
621,BRISBANE,EMERALD,2016,198865,4976,369535,3249328,653.0
633,BRISBANE,GLADSTONE,2016,331032,7196,567174,3123064,434.0
662,BRISBANE,HAMILTON ISLAND,2016,149098,1481,189945,1315128,888.0
686,BRISBANE,HOBART,2016,205776,1427,244210,2555757,1791.0
728,BRISBANE,MACKAY,2016,678478,7670,913487,6112990,797.0
767,BRISBANE,MELBOURNE,2016,3493239,25933,4343045,35813473,1381.0
777,BRISBANE,MORANBAH,2016,117391,3771,269429,2941380,780.0
788,BRISBANE,MOUNT ISA,2016,119752,1882,232679,2960386,1573.0
817,BRISBANE,NEWCASTLE,2016,573989,6328,766367,3885392,614.0
856,BRISBANE,PERTH,2016,984102,5772,1229420,20865780,3615.0
895,BRISBANE,PROSERPINE,2016,227859,1578,268925,1412310,895.0
934,BRISBANE,ROCKHAMPTON,2016,563779,9351,772517,4843818,518.0
973,BRISBANE,SYDNEY,2016,4658129,35396,5705996,26653188,753.0
1012,BRISBANE,TOWNSVILLE,2016,976573,8966,1313777,9970192,1112.0
1051,BROOME,PERTH,2016,295172,3322,406341,5570994,1677.0
1061,BUNDABERG,BRISBANE,2016,172748,3901,238687,1119587,287.0
1101,CAIRNS,MELBOURNE,2016,823392,5232,986816,12091152,2311.0
1140,CAIRNS,SYDNEY,2016,1115255,7665,1333714,15107715,1971.0
1169,CAIRNS,TOWNSVILLE,2016,139234,4967,293985,1410628,284.0
1211,CANBERRA,MELBOURNE,2016,1026093,10812,1484405,5081640,470.0
1250,CANBERRA,SYDNEY,2016,959385,17080,1362100,4030880,236.0
1289,COFFS HARBOUR,SYDNEY,2016,338999,5309,451164,2351887,443.0
1318,DARWIN,MELBOURNE,2016,300951,2169,379036,6791139,3131.0
1332,DARWIN,PERTH,2016,184405,1655,266346,4387405,2651.0
1371,DARWIN,SYDNEY,2016,318761,2620,439957,8266100,3155.0
1441,DUBBO,SYDNEY,2016,188196,6398,292823,1983380,310.0
1453,GERALDTON,PERTH,2016,117612,2482,241018,918340,370.0
1492,GOLD COAST,SYDNEY,2016,2704358,18379,3143337,12497720,680.0
1502,HAMILTON ISLAND,MELBOURNE,2016,110278,853,146466,1676145,1965.0
1516,HAMILTON ISLAND,SYDNEY,2016,265771,2005,334304,3059630,1526.0
1565,HOBART,MELBOURNE,2016,1555536,12286,1960904,7592748,618.0
1594,HOBART,SYDNEY,2016,616602,4714,748961,4897846,1039.0
1633,KALGOORLIE,PERTH,2016,231675,3420,394635,1839960,538.0
1672,KARRATHA,PERTH,2016,490644,7035,846884,8793750,1250.0
1711,LAUNCESTON,MELBOURNE,2016,918005,8866,1159907,4220216,476.0
1740,LAUNCESTON,SYDNEY,2016,288574,2003,346890,1830742,914.0
1813,MELBOURNE,GOLD COAST,2016,1966147,12666,2365119,16845780,1330.0
1852,MELBOURNE,MILDURA,2016,205663,4874,316964,2227418,457.0
1886,MELBOURNE,NEWCASTLE,2016,449484,3202,567403,2676872,836.0
1925,MELBOURNE,PERTH,2016,2072911,11582,2563069,31340892,2706.0
1964,MELBOURNE,SYDNEY,2016,8904672,59343,10652217,41896158,706.0
1992,PERTH,NEWMAN,2016,307639,4374,610750,4457106,1019.0
2021,PERTH,PORT HEDLAND,2016,339107,4614,614410,6053568,1312.0
2060,PERTH,SYDNEY,2016,1753695,9154,2160460,30061736,3284.0
2075,PORT MACQUARIE,SYDNEY,2016,193385,4607,267692,1478847,321.0
2119,SUNSHINE COAST,MELBOURNE,2016,441777,2936,520786,4268944,1454.0
2158,SUNSHINE COAST,SYDNEY,2016,539761,3955,658046,3310335,837.0
2166,SYDNEY,TAMWORTH,2016,175078,4491,279347,1437120,320.0
2205,SYDNEY,TOWNSVILLE,2016,158382,1385,211709,2340650,1690.0
2244,SYDNEY,WAGGA WAGGA,2016,188396,5654,294230,2075018,367.0
