,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
14,ADELAIDE,ALICE SPRINGS,1998,150361,1467,190554,1930572,1316.0
53,ADELAIDE,BRISBANE,1998,193341,1872,238098,3036384,1622.0
94,ADELAIDE,CANBERRA,1998,92521,1473,169861,1431756,972.0
133,ADELAIDE,DARWIN,1998,140629,1545,187797,4046355,2619.0
195,ADELAIDE,MELBOURNE,1998,1312427,13641,1769579,8771163,643.0
234,ADELAIDE,PERTH,1998,407678,4316,551429,9149920,2120.0
263,ADELAIDE,PORT LINCOLN,1998,97918,6227,152532,1531842,246.0
302,ADELAIDE,SYDNEY,1998,1111163,12094,1529094,14113698,1167.0
341,ALBURY,SYDNEY,1998,112663,4960,169690,2241920,452.0
380,ALICE SPRINGS,DARWIN,1998,166480,2170,234352,2831850,1305.0
424,ALICE SPRINGS,SYDNEY,1998,142934,1468,188066,2968296,2022.0
475,BALLINA,SYDNEY,1998,97714,2590,140283,1585080,612.0
514,BRISBANE,CAIRNS,1998,923798,8761,1326419,12186551,1391.0
553,BRISBANE,CANBERRA,1998,180330,3165,261648,3025740,956.0
592,BRISBANE,DARWIN,1998,142861,1485,187753,4235220,2852.0
644,BRISBANE,HAMILTON ISLAND,1998,104596,1490,144723,1323120,888.0
670,BRISBANE,HOBART,1998,1106,23,1496,41193,1791.0
710,BRISBANE,MACKAY,1998,213233,3960,328743,3156120,797.0
749,BRISBANE,MELBOURNE,1998,1584252,16185,2111503,22351485,1381.0
799,BRISBANE,NEWCASTLE,1998,30231,3098,64364,1902172,614.0
838,BRISBANE,PERTH,1998,44410,410,58003,1482150,3615.0
877,BRISBANE,PROSERPINE,1998,82584,1761,119136,1576095,895.0
916,BRISBANE,ROCKHAMPTON,1998,242060,5534,402947,2866612,518.0
955,BRISBANE,SYDNEY,1998,3014087,24010,4190051,18079530,753.0
994,BRISBANE,TOWNSVILLE,1998,468525,5101,626972,5672312,1112.0
1033,BROOME,PERTH,1998,121755,2367,161232,3969459,1677.0
1083,CAIRNS,MELBOURNE,1998,54761,479,73889,1106969,2311.0
1122,CAIRNS,SYDNEY,1998,661490,4816,949812,9492336,1971.0
1151,CAIRNS,TOWNSVILLE,1998,115034,6093,200206,1730412,284.0
1193,CANBERRA,MELBOURNE,1998,689035,9313,1053485,4377110,470.0
1232,CANBERRA,SYDNEY,1998,833754,22212,1311368,5242032,236.0
1271,COFFS HARBOUR,SYDNEY,1998,161474,5090,230815,2254870,443.0
1300,DARWIN,MELBOURNE,1998,511,2,603,6262,3131.0
1353,DARWIN,SYDNEY,1998,116072,1252,147555,3950060,3155.0
1392,DEVONPORT,MELBOURNE,1998,124704,5077,179432,2091724,412.0
1423,DUBBO,SYDNEY,1998,121513,7209,232802,2234790,310.0
1474,GOLD COAST,SYDNEY,1998,1257080,10621,1600001,7222280,680.0
1547,HOBART,MELBOURNE,1998,752773,6584,908173,4068912,618.0
1576,HOBART,SYDNEY,1998,94398,1326,131482,1377714,1039.0
1615,KALGOORLIE,PERTH,1998,194081,4006,315470,2155228,538.0
1654,KARRATHA,PERTH,1998,166680,3492,281627,4365000,1250.0
1693,LAUNCESTON,MELBOURNE,1998,435322,5820,539495,2770320,476.0
1722,LAUNCESTON,SYDNEY,1998,71587,1196,91643,1093144,914.0
1764,MELBOURNE,BURNIE,1998,98808,4214,148147,1592892,378.0
1795,MELBOURNE,GOLD COAST,1998,552394,4323,701951,5749590,1330.0
1834,MELBOURNE,MILDURA,1998,103191,4511,156427,2061527,457.0
1868,MELBOURNE,NEWCASTLE,1998,20010,2680,48240,2240480,836.0
1907,MELBOURNE,PERTH,1998,859182,6964,1073183,18844584,2706.0
1946,MELBOURNE,SYDNEY,1998,4929859,34760,6707827,24540560,706.0
2003,PERTH,PORT HEDLAND,1998,107730,2773,191543,3638176,1312.0
2042,PERTH,SYDNEY,1998,951600,7163,1222105,23523292,3284.0
2101,SUNSHINE COAST,MELBOURNE,1998,35434,407,47985,591778,1454.0
2140,SUNSHINE COAST,SYDNEY,1998,171520,1810,213207,1514970,837.0
2187,SYDNEY,TOWNSVILLE,1998,14552,156,18539,263640,1690.0
2226,SYDNEY,WAGGA WAGGA,1998,109675,4846,165830,1778482,367.0
