,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
6,ADELAIDE,ALICE SPRINGS,1990,175592,1469,226544,1933204,1316.0
45,ADELAIDE,BRISBANE,1990,61805,685,76765,1111070,1622.0
86,ADELAIDE,CANBERRA,1990,23750,306,36628,297432,972.0
125,ADELAIDE,DARWIN,1990,6115,83,11443,217377,2619.0
148,ADELAIDE,GOLD COAST,1990,9079,118,13907,189626,1607.0
187,ADELAIDE,MELBOURNE,1990,843652,8387,1145235,5392841,643.0
226,ADELAIDE,PERTH,1990,236383,2540,323558,5384800,2120.0
294,ADELAIDE,SYDNEY,1990,516558,5256,678644,6133752,1167.0
333,ALBURY,SYDNEY,1990,53902,2412,98359,1090224,452.0
372,ALICE SPRINGS,DARWIN,1990,164635,1587,242288,2071035,1305.0
416,ALICE SPRINGS,SYDNEY,1990,93781,1237,142162,2501214,2022.0
506,BRISBANE,CAIRNS,1990,329149,3740,444741,5202340,1391.0
545,BRISBANE,CANBERRA,1990,2042,29,3249,27724,956.0
584,BRISBANE,DARWIN,1990,79946,986,118052,2812072,2852.0
702,BRISBANE,MACKAY,1990,87882,1474,137696,1174778,797.0
741,BRISBANE,MELBOURNE,1990,585965,5882,772381,8123042,1381.0
830,BRISBANE,PERTH,1990,162,2,220,7230,3615.0
869,BRISBANE,PROSERPINE,1990,29421,513,43486,459135,895.0
908,BRISBANE,ROCKHAMPTON,1990,177950,3687,293232,1909866,518.0
947,BRISBANE,SYDNEY,1990,1680770,14941,2316725,11250573,753.0
986,BRISBANE,TOWNSVILLE,1990,345262,3842,479142,4272304,1112.0
1025,BROOME,PERTH,1990,31346,533,38931,893841,1677.0
1075,CAIRNS,MELBOURNE,1990,7007,74,8684,171014,2311.0
1114,CAIRNS,SYDNEY,1990,90680,968,113180,1907928,1971.0
1185,CANBERRA,MELBOURNE,1990,429112,6682,708892,3140540,470.0
1224,CANBERRA,SYDNEY,1990,558904,10456,875262,2467616,236.0
1263,COFFS HARBOUR,SYDNEY,1990,95125,2351,137850,1041493,443.0
1345,DARWIN,SYDNEY,1990,1896,19,2427,59945,3155.0
1384,DEVONPORT,MELBOURNE,1990,100444,2618,143648,1078616,412.0
1415,DUBBO,SYDNEY,1990,78362,4386,219606,1359660,310.0
1466,GOLD COAST,SYDNEY,1990,652053,7771,825466,5284280,680.0
1539,HOBART,MELBOURNE,1990,439831,5105,611075,3154890,618.0
1607,KALGOORLIE,PERTH,1990,90836,2976,138601,1601088,538.0
1646,KARRATHA,PERTH,1990,104403,1849,136148,2311250,1250.0
1685,LAUNCESTON,MELBOURNE,1990,318109,6511,470399,3099236,476.0
1756,MELBOURNE,BURNIE,1990,61214,2934,96529,1109052,378.0
1787,MELBOURNE,GOLD COAST,1990,229015,2220,292693,2952600,1330.0
1826,MELBOURNE,MILDURA,1990,46941,3707,94957,1694099,457.0
1899,MELBOURNE,PERTH,1990,428733,3707,552750,10031142,2706.0
1938,MELBOURNE,SYDNEY,1990,2508136,22138,3654591,15629428,706.0
2034,PERTH,SYDNEY,1990,277823,2502,391172,8216568,3284.0
2093,SUNSHINE COAST,MELBOURNE,1990,17696,422,25582,613588,1454.0
2132,SUNSHINE COAST,SYDNEY,1990,49494,960,63303,803520,837.0
2179,SYDNEY,TOWNSVILLE,1990,7798,89,9979,150410,1690.0
2218,SYDNEY,WAGGA WAGGA,1990,67300,1884,94203,691428,367.0
