,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
0,ADELAIDE,ALICE SPRINGS,1984,154245,1474,198702,1939784,1316.0
39,ADELAIDE,BRISBANE,1984,38412,435,53500,705570,1622.0
80,ADELAIDE,CANBERRA,1984,14959,159,17961,154548,972.0
119,ADELAIDE,DARWIN,1984,29154,301,40422,788319,2619.0
142,ADELAIDE,GOLD COAST,1984,14330,194,21074,311758,1607.0
181,ADELAIDE,MELBOURNE,1984,661611,8040,935202,5169720,643.0
220,ADELAIDE,PERTH,1984,192116,1612,236174,3417440,2120.0
288,ADELAIDE,SYDNEY,1984,424713,4248,544027,4957416,1167.0
327,ALBURY,SYDNEY,1984,118631,2734,152490,1235768,452.0
366,ALICE SPRINGS,DARWIN,1984,97302,917,130926,1196685,1305.0
410,ALICE SPRINGS,SYDNEY,1984,31264,350,43154,707700,2022.0
500,BRISBANE,CAIRNS,1984,22809,397,31202,552227,1391.0
539,BRISBANE,CANBERRA,1984,4509,84,8903,80304,956.0
578,BRISBANE,DARWIN,1984,19735,169,25377,481988,2852.0
696,BRISBANE,MACKAY,1984,7013,201,11134,160197,797.0
735,BRISBANE,MELBOURNE,1984,345508,3775,441402,5213275,1381.0
824,BRISBANE,PERTH,1984,5507,54,7976,195210,3615.0
863,BRISBANE,PROSERPINE,1984,78432,1023,108123,915585,895.0
902,BRISBANE,ROCKHAMPTON,1984,254649,3419,331593,1771042,518.0
941,BRISBANE,SYDNEY,1984,1172664,11656,1605668,8776968,753.0
980,BRISBANE,TOWNSVILLE,1984,415344,4629,498713,5147448,1112.0
1019,BROOME,PERTH,1984,5726,118,7935,197886,1677.0
1108,CAIRNS,SYDNEY,1984,1466,18,1994,35478,1971.0
1179,CANBERRA,MELBOURNE,1984,348217,4485,546249,2107950,470.0
1218,CANBERRA,SYDNEY,1984,514614,7516,809558,1773776,236.0
1257,COFFS HARBOUR,SYDNEY,1984,71435,1827,94456,809361,443.0
1339,DARWIN,SYDNEY,1984,2421,24,3566,75720,3155.0
1378,DEVONPORT,MELBOURNE,1984,78458,2867,134157,1181204,412.0
1409,DUBBO,SYDNEY,1984,65320,1700,91571,527000,310.0
1460,GOLD COAST,SYDNEY,1984,396579,4773,538586,3245640,680.0
1533,HOBART,MELBOURNE,1984,305809,4280,428344,2645040,618.0
1601,KALGOORLIE,PERTH,1984,68547,2540,111384,1366520,538.0
1640,KARRATHA,PERTH,1984,95476,1892,124746,2365000,1250.0
1679,LAUNCESTON,MELBOURNE,1984,371238,6809,524238,3241084,476.0
1750,MELBOURNE,BURNIE,1984,76986,2945,127059,1113210,378.0
1781,MELBOURNE,GOLD COAST,1984,163492,1511,202075,2009630,1330.0
1820,MELBOURNE,MILDURA,1984,36158,3259,88206,1489363,457.0
1859,MELBOURNE,NEWCASTLE,1984,959,30,2897,25080,836.0
1893,MELBOURNE,PERTH,1984,301762,2944,388123,7966464,2706.0
1932,MELBOURNE,SYDNEY,1984,1910136,17072,2650872,12052832,706.0
2028,PERTH,SYDNEY,1984,182605,1517,227995,4981828,3284.0
2126,SUNSHINE COAST,SYDNEY,1984,46417,1240,74286,1037880,837.0
2173,SYDNEY,TOWNSVILLE,1984,59263,679,71527,1147510,1690.0
2212,SYDNEY,WAGGA WAGGA,1984,59141,1804,92729,662068,367.0
