,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
22,ADELAIDE,ALICE SPRINGS,2006,0,0,0,0,
61,ADELAIDE,BRISBANE,2006,615131,5040,820361,8174880,1622.0
102,ADELAIDE,CANBERRA,2006,202973,1916,272207,1862352,972.0
161,ADELAIDE,GOLD COAST,2006,185548,1515,248784,2434605,1607.0
203,ADELAIDE,MELBOURNE,2006,1850924,15923,2494699,10238489,643.0
242,ADELAIDE,PERTH,2006,507693,3864,620074,8191680,2120.0
271,ADELAIDE,PORT LINCOLN,2006,73222,3174,106828,780804,246.0
310,ADELAIDE,SYDNEY,2006,1423776,12604,1916906,14708868,1167.0
349,ALBURY,SYDNEY,2006,150011,5368,215366,2426336,452.0
432,ALICE SPRINGS,SYDNEY,2006,0,0,0,0,
483,BALLINA,SYDNEY,2006,282383,4152,375235,2541024,612.0
522,BRISBANE,CAIRNS,2006,1112621,8027,1333926,11165557,1391.0
561,BRISBANE,CANBERRA,2006,565644,5458,746868,5217848,956.0
600,BRISBANE,DARWIN,2006,302658,2010,377181,5732520,2852.0
652,BRISBANE,HAMILTON ISLAND,2006,159487,1492,236132,1324896,888.0
676,BRISBANE,HOBART,2006,142078,1080,175298,1934280,1791.0
718,BRISBANE,MACKAY,2006,600802,5711,762224,4551667,797.0
757,BRISBANE,MELBOURNE,2006,2544071,19947,3137148,27546807,1381.0
807,BRISBANE,NEWCASTLE,2006,415703,4349,554888,2670286,614.0
846,BRISBANE,PERTH,2006,520718,3048,612800,11018520,3615.0
885,BRISBANE,PROSERPINE,2006,184524,1458,229924,1304910,895.0
924,BRISBANE,ROCKHAMPTON,2006,553289,8514,750490,4410252,518.0
963,BRISBANE,SYDNEY,2006,3822665,28180,4858149,21219540,753.0
1002,BRISBANE,TOWNSVILLE,2006,821966,6782,1001459,7541584,1112.0
1041,BROOME,PERTH,2006,248164,2475,336277,4150575,1677.0
1091,CAIRNS,MELBOURNE,2006,442559,3278,542677,7575458,2311.0
1130,CAIRNS,SYDNEY,2006,939063,6225,1199156,12269475,1971.0
1159,CAIRNS,TOWNSVILLE,2006,133218,5538,183255,1572792,284.0
1201,CANBERRA,MELBOURNE,2006,928314,11243,1301783,5284210,470.0
1240,CANBERRA,SYDNEY,2006,807936,16242,1133328,3833112,236.0
1279,COFFS HARBOUR,SYDNEY,2006,301143,5014,388290,2221202,443.0
1308,DARWIN,MELBOURNE,2006,116542,1113,143035,3484803,3131.0
1361,DARWIN,SYDNEY,2006,0,0,0,0,
1400,DEVONPORT,MELBOURNE,2006,0,0,0,0,
1431,DUBBO,SYDNEY,2006,174210,7747,248319,2401570,310.0
1482,GOLD COAST,SYDNEY,2006,1910284,14322,2433069,9738960,680.0
1524,HERVEY BAY,SYDNEY,2006,140341,1093,184693,1063489,973.0
1555,HOBART,MELBOURNE,2006,987743,7902,1248078,4883436,618.0
1584,HOBART,SYDNEY,2006,423856,3408,550680,3540912,1039.0
1623,KALGOORLIE,PERTH,2006,196937,2886,317595,1552668,538.0
1662,KARRATHA,PERTH,2006,209366,2219,286497,2773750,1250.0
1701,LAUNCESTON,MELBOURNE,2006,695072,7084,951934,3371984,476.0
1730,LAUNCESTON,SYDNEY,2006,193356,1526,260628,1394764,914.0
1772,MELBOURNE,BURNIE,2006,0,0,0,0,
1803,MELBOURNE,GOLD COAST,2006,1237202,8501,1478329,11306330,1330.0
1842,MELBOURNE,MILDURA,2006,146658,5826,206571,2662482,457.0
1876,MELBOURNE,NEWCASTLE,2006,327614,3989,421013,3334804,836.0
1915,MELBOURNE,PERTH,2006,1455273,9288,1842680,25133328,2706.0
1954,MELBOURNE,SYDNEY,2006,6407513,42390,8023080,29927340,706.0
2011,PERTH,PORT HEDLAND,2006,133185,1789,202064,2347828,1312.3689211850196
2050,PERTH,SYDNEY,2006,1257833,6219,1535029,20423196,3284.0
2109,SUNSHINE COAST,MELBOURNE,2006,396905,2879,482931,4186066,1454.0
2148,SUNSHINE COAST,SYDNEY,2006,430421,3034,532676,2539458,837.0
2195,SYDNEY,TOWNSVILLE,2006,158303,1361,213664,2300090,1690.0
2234,SYDNEY,WAGGA WAGGA,2006,153860,6122,231621,2246774,367.0
