,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
37,ADELAIDE,ALICE SPRINGS,2021,53653,827,91851,1088332,1316.0
76,ADELAIDE,BRISBANE,2021,451446,4471,735495,7251962,1622.0
78,ADELAIDE,CAIRNS,2021,49618,496,81000,1056976,2131.0
117,ADELAIDE,CANBERRA,2021,80380,784,132917,762048,972.0
140,ADELAIDE,DARWIN,2021,40207,329,58860,861651,2619.0
176,ADELAIDE,GOLD COAST,2021,143162,1317,230320,2116419,1607.0
179,ADELAIDE,HOBART,2021,28741,375,55274,439500,1172.0
218,ADELAIDE,MELBOURNE,2021,640972,7198,1073880,4628314,643.0
257,ADELAIDE,PERTH,2021,318622,3328,513578,7055360,2120.0
286,ADELAIDE,PORT LINCOLN,2021,141861,5439,212575,1337994,246.0
325,ADELAIDE,SYDNEY,2021,524704,5342,851790,6234114,1167.0
364,ALBURY,SYDNEY,2021,50040,1536,91408,694272,452.0
498,BALLINA,SYDNEY,2021,408726,4333,598607,2651796,612.0
537,BRISBANE,CAIRNS,2021,1012528,8975,1431284,12484225,1391.0
576,BRISBANE,CANBERRA,2021,292693,3689,520550,3526684,956.0
615,BRISBANE,DARWIN,2021,260460,2370,393494,6759240,2852.0
626,BRISBANE,EMERALD,2021,129120,3442,230929,2247626,653.0
638,BRISBANE,GLADSTONE,2021,140145,3460,268194,1501640,434.0
667,BRISBANE,HAMILTON ISLAND,2021,205151,1867,321340,1657896,888.0
691,BRISBANE,HOBART,2021,257544,2292,377805,4104972,1791.0
694,BRISBANE,LAUNCESTON,2021,97609,825,145145,1372800,1664.0
733,BRISBANE,MACKAY,2021,536546,5672,851974,4520584,797.0
772,BRISBANE,MELBOURNE,2021,787439,8975,1317665,12394475,1381.0
782,BRISBANE,MORANBAH,2021,8504,247,18658,192660,780.0
793,BRISBANE,MOUNT ISA,2021,86207,1521,174549,2392533,1573.0
822,BRISBANE,NEWCASTLE,2021,212340,2691,374839,1652274,614.0
861,BRISBANE,PERTH,2021,287162,2545,465612,9200175,3615.0
900,BRISBANE,PROSERPINE,2021,244191,2045,335635,1830275,895.0
939,BRISBANE,ROCKHAMPTON,2021,361371,5697,585179,2951046,518.0
978,BRISBANE,SYDNEY,2021,1093231,12264,1758258,9234792,753.0
1017,BRISBANE,TOWNSVILLE,2021,689072,6309,1042217,7015608,1112.0
1056,BROOME,PERTH,2021,375625,3336,539690,5594472,1677.0
1068,CAIRNS,GOLD COAST,2021,13813,124,22480,184016,1484.0
1106,CAIRNS,MELBOURNE,2021,312737,2520,502636,5823720,2311.0
1145,CAIRNS,SYDNEY,2021,249780,2233,422817,4401243,1971.0
1174,CAIRNS,TOWNSVILLE,2021,41365,1225,76956,347900,284.0
1177,CANBERRA,GOLD COAST,2021,44752,488,70326,435296,892.0
1216,CANBERRA,MELBOURNE,2021,280728,3907,522236,1836290,470.0
1255,CANBERRA,SYDNEY,2021,158571,4236,292276,999696,236.0
1294,COFFS HARBOUR,SYDNEY,2021,102159,2662,176843,1179266,443.0
1323,DARWIN,MELBOURNE,2021,42150,410,78699,1283710,3131.0
1337,DARWIN,PERTH,2021,138888,1416,226081,3753816,2651.0
1446,DUBBO,SYDNEY,2021,50597,1819,89770,563890,310.0
1497,GOLD COAST,SYDNEY,2021,741817,6137,1071198,4173160,680.0
1521,HAMILTON ISLAND,SYDNEY,2021,73055,637,112762,972062,1526.0
1570,HOBART,MELBOURNE,2021,459276,4764,760935,2944152,618.0
1599,HOBART,SYDNEY,2021,256542,2460,432968,2555940,1039.0
1638,KALGOORLIE,PERTH,2021,254689,3151,422683,1695238,538.0
1677,KARRATHA,PERTH,2021,420896,4484,725855,5605000,1250.0
1716,LAUNCESTON,MELBOURNE,2021,304924,4679,533705,2227204,476.0
1745,LAUNCESTON,SYDNEY,2021,115949,978,166774,893892,914.0
1748,MELBOURNE,BALLINA,2021,63594,502,90256,639548,1274.0
1818,MELBOURNE,GOLD COAST,2021,787571,6077,1142829,8082410,1330.0
1857,MELBOURNE,MILDURA,2021,28117,1081,47280,494017,457.0
1891,MELBOURNE,NEWCASTLE,2021,157779,1836,309745,1534896,836.0
1930,MELBOURNE,PERTH,2021,261442,3723,494943,10074438,2706.0
1969,MELBOURNE,SYDNEY,2021,2119779,21589,3394096,15241834,706.0
1997,PERTH,NEWMAN,2021,318092,4075,669723,4152425,1019.0
2026,PERTH,PORT HEDLAND,2021,360217,4351,613129,5708512,1312.0
2065,PERTH,SYDNEY,2021,313738,3097,569566,10170548,3284.0
2080,PORT MACQUARIE,SYDNEY,2021,36312,1585,80295,508785,321.0
2124,SUNSHINE COAST,MELBOURNE,2021,267798,2417,405859,3514318,1454.0
2163,SUNSHINE COAST,SYDNEY,2021,223048,2013,332775,1684881,837.0
2249,SYDNEY,WAGGA WAGGA,2021,38848,1225,73117,449575,367.0
