,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
35,ADELAIDE,ALICE SPRINGS,2019,144629,1428,194949,1879248,1316.0
74,ADELAIDE,BRISBANE,2019,875306,6492,1112604,10530024,1622.0
115,ADELAIDE,CANBERRA,2019,195443,1766,294046,1716552,972.0
174,ADELAIDE,GOLD COAST,2019,215156,1440,257489,2314080,1607.0
216,ADELAIDE,MELBOURNE,2019,2538061,19019,3125865,12229217,643.0
255,ADELAIDE,PERTH,2019,656834,5647,855398,11971640,2120.0
284,ADELAIDE,PORT LINCOLN,2019,172269,7421,286127,1825566,246.0
323,ADELAIDE,SYDNEY,2019,1878741,13216,2240818,15423072,1167.0
362,ALBURY,SYDNEY,2019,230149,5998,327599,2711096,452.0
391,ALICE SPRINGS,DARWIN,2019,109700,1718,252222,2241990,1305.0
454,ARMIDALE,SYDNEY,2019,124966,4325,182498,1652150,382.0
467,AYERS ROCK,SYDNEY,2019,196164,1413,251685,3081753,2181.0
496,BALLINA,SYDNEY,2019,433277,3292,516075,2014704,612.0
535,BRISBANE,CAIRNS,2019,1292703,10577,1537229,14712607,1391.0
574,BRISBANE,CANBERRA,2019,660113,6502,891252,6215912,956.0
613,BRISBANE,DARWIN,2019,354814,2753,447243,7851556,2852.0
624,BRISBANE,EMERALD,2019,201494,4417,299590,2884301,653.0
636,BRISBANE,GLADSTONE,2019,247787,4937,372730,2142658,434.0
665,BRISBANE,HAMILTON ISLAND,2019,132411,1440,182428,1278720,888.0
689,BRISBANE,HOBART,2019,241400,1642,289815,2940822,1791.0
731,BRISBANE,MACKAY,2019,775637,7775,1004892,6196675,797.0
770,BRISBANE,MELBOURNE,2019,3608681,25421,4313349,35106401,1381.0
791,BRISBANE,MOUNT ISA,2019,141024,1678,193814,2639494,1573.0
820,BRISBANE,NEWCASTLE,2019,604633,5852,804013,3593128,614.0
859,BRISBANE,PERTH,2019,960632,6116,1134687,22109340,3615.0
898,BRISBANE,PROSERPINE,2019,257106,1789,318476,1601155,895.0
937,BRISBANE,ROCKHAMPTON,2019,539457,7955,670389,4120690,518.0
976,BRISBANE,SYDNEY,2019,4821044,35315,5795848,26592195,753.0
1015,BRISBANE,TOWNSVILLE,2019,1018094,8723,1300253,9699976,1112.0
1054,BROOME,PERTH,2019,328804,3716,431948,6231732,1677.0
1064,BUNDABERG,BRISBANE,2019,153648,3573,225100,1025451,287.0
1104,CAIRNS,MELBOURNE,2019,855876,5127,1005106,11848497,2311.0
1143,CAIRNS,SYDNEY,2019,1078060,6595,1285877,12998745,1971.0
1172,CAIRNS,TOWNSVILLE,2019,143233,3840,246327,1090560,284.0
1214,CANBERRA,MELBOURNE,2019,1184774,11056,1745969,5196320,470.0
1253,CANBERRA,SYDNEY,2019,931350,16292,1241349,3844912,236.0
1292,COFFS HARBOUR,SYDNEY,2019,326518,4786,444929,2120198,443.0
1321,DARWIN,MELBOURNE,2019,310944,2070,377945,6481170,3131.0
1335,DARWIN,PERTH,2019,174179,1458,251820,3865158,2651.0
1374,DARWIN,SYDNEY,2019,309468,2288,399230,7218640,3155.0
1444,DUBBO,SYDNEY,2019,182037,5831,269974,1807610,310.0
1456,GERALDTON,PERTH,2019,61557,1048,104800,387760,370.0
1495,GOLD COAST,SYDNEY,2019,2733109,17970,3139585,12219600,680.0
1505,HAMILTON ISLAND,MELBOURNE,2019,16310,139,24014,273135,1965.0
1519,HAMILTON ISLAND,SYDNEY,2019,213317,1793,290199,2736118,1526.0
1568,HOBART,MELBOURNE,2019,1670181,11401,2084609,7045818,618.0
1597,HOBART,SYDNEY,2019,728897,5515,888058,5730085,1039.0
1636,KALGOORLIE,PERTH,2019,278212,3927,490675,2112726,538.0
1675,KARRATHA,PERTH,2019,466223,5947,728838,7433750,1250.0
1714,LAUNCESTON,MELBOURNE,2019,959160,9018,1206605,4292568,476.0
1743,LAUNCESTON,SYDNEY,2019,294631,1911,344186,1746654,914.0
1816,MELBOURNE,GOLD COAST,2019,2121955,12596,2383858,16752680,1330.0
1855,MELBOURNE,MILDURA,2019,231282,4783,350024,2185831,457.0
1889,MELBOURNE,NEWCASTLE,2019,483397,3180,576675,2658480,836.0
1928,MELBOURNE,PERTH,2019,2110125,12274,2470682,33213444,2706.0
1967,MELBOURNE,SYDNEY,2019,9181932,60424,10775484,42659344,706.0
1995,PERTH,NEWMAN,2019,347490,4223,585710,4303237,1019.0
2024,PERTH,PORT HEDLAND,2019,378443,4628,601167,6071936,1312.0
2063,PERTH,SYDNEY,2019,1692031,9006,1995681,29575704,3284.0
2078,PORT MACQUARIE,SYDNEY,2019,190865,3994,263070,1282074,321.0
2084,PROSERPINE,SYDNEY,2019,113253,762,138438,1155954,1517.0
2122,SUNSHINE COAST,MELBOURNE,2019,558016,3565,639072,5183510,1454.0
2161,SUNSHINE COAST,SYDNEY,2019,664965,4933,803022,4128921,837.0
2169,SYDNEY,TAMWORTH,2019,174290,4214,267894,1348480,320.0
2208,SYDNEY,TOWNSVILLE,2019,173477,1215,214652,2053350,1690.0
2247,SYDNEY,WAGGA WAGGA,2019,180680,5330,270395,1956110,367.0
