,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
20,ADELAIDE,ALICE SPRINGS,2004,95446,802,121370,1055432,1316.0
59,ADELAIDE,BRISBANE,2004,483684,3739,575709,6064658,1622.0
100,ADELAIDE,CANBERRA,2004,179270,1819,257185,1768068,972.0
139,ADELAIDE,DARWIN,2004,0,0,0,0,
159,ADELAIDE,GOLD COAST,2004,114214,938,133408,1507366,1607.0
201,ADELAIDE,MELBOURNE,2004,1637182,13987,2085776,8993641,643.0
240,ADELAIDE,PERTH,2004,481739,4291,634815,9096920,2120.0
269,ADELAIDE,PORT LINCOLN,2004,122743,6952,197345,1710192,246.0
308,ADELAIDE,SYDNEY,2004,1363611,11467,1689580,13381989,1167.0
347,ALBURY,SYDNEY,2004,139720,4917,201606,2222484,452.0
386,ALICE SPRINGS,DARWIN,2004,0,0,0,0,
430,ALICE SPRINGS,SYDNEY,2004,139094,1200,186906,2426400,2022.0
481,BALLINA,SYDNEY,2004,138935,4139,184351,2533068,612.0
520,BRISBANE,CAIRNS,2004,1037902,8455,1355092,11760905,1391.0
559,BRISBANE,CANBERRA,2004,493542,4904,694145,4688224,956.0
598,BRISBANE,DARWIN,2004,244630,2013,321822,5741076,2852.0
650,BRISBANE,HAMILTON ISLAND,2004,105017,1285,156779,1141080,888.0
674,BRISBANE,HOBART,2004,133927,1174,169832,2102634,1791.0
716,BRISBANE,MACKAY,2004,440202,4409,581556,3513973,797.0
755,BRISBANE,MELBOURNE,2004,2558173,19805,3118894,27350705,1381.0
805,BRISBANE,NEWCASTLE,2004,184020,3291,225356,2020674,614.0
844,BRISBANE,PERTH,2004,373796,2192,456333,7924080,3615.0
883,BRISBANE,PROSERPINE,2004,158410,1303,191180,1166185,895.0
922,BRISBANE,ROCKHAMPTON,2004,403285,5383,535589,2788394,518.0
961,BRISBANE,SYDNEY,2004,3924642,28501,5003118,21461253,753.0
1000,BRISBANE,TOWNSVILLE,2004,682243,6272,865486,6974464,1112.0
1039,BROOME,PERTH,2004,174566,2359,242440,3956043,1677.0
1089,CAIRNS,MELBOURNE,2004,326656,2067,412361,4776837,2311.0
1128,CAIRNS,SYDNEY,2004,918179,6167,1247394,12155157,1971.0
1157,CAIRNS,TOWNSVILLE,2004,106525,3827,152787,1086868,284.0
1199,CANBERRA,MELBOURNE,2004,833484,10275,1173201,4829250,470.0
1238,CANBERRA,SYDNEY,2004,820470,19049,1229012,4495564,236.0
1277,COFFS HARBOUR,SYDNEY,2004,239630,4920,300809,2179560,443.0
1306,DARWIN,MELBOURNE,2004,96760,921,127231,2883651,3131.0
1359,DARWIN,SYDNEY,2004,174596,1358,237831,4284490,3155.0
1398,DEVONPORT,MELBOURNE,2004,114257,4402,161285,1813624,412.0
1429,DUBBO,SYDNEY,2004,145934,7737,247846,2398470,310.0
1480,GOLD COAST,SYDNEY,2004,1548982,12435,1890309,8455800,680.0
1553,HOBART,MELBOURNE,2004,985515,9951,1293451,6149718,618.0
1582,HOBART,SYDNEY,2004,253737,2544,326852,2643216,1039.0
1621,KALGOORLIE,PERTH,2004,169933,2939,266963,1581182,538.0
1660,KARRATHA,PERTH,2004,200430,2785,301051,3481250,1250.0
1699,LAUNCESTON,MELBOURNE,2004,591226,6145,774941,2925020,476.0
1728,LAUNCESTON,SYDNEY,2004,142117,1451,191690,1326214,914.0
1770,MELBOURNE,BURNIE,2004,91086,4019,145553,1519182,378.0
1801,MELBOURNE,GOLD COAST,2004,918616,7182,1129173,9552060,1330.0
1840,MELBOURNE,MILDURA,2004,128572,5039,181014,2302823,457.0
1874,MELBOURNE,NEWCASTLE,2004,189942,3180,252809,2658480,836.0
1913,MELBOURNE,PERTH,2004,1183670,7479,1450403,20238174,2706.0
1952,MELBOURNE,SYDNEY,2004,6209986,39534,7856673,27911004,706.0
2009,PERTH,PORT HEDLAND,2004,91298,1987,146768,2606944,1312.0
2048,PERTH,SYDNEY,2004,1131174,6383,1381677,20961772,3284.0
2107,SUNSHINE COAST,MELBOURNE,2004,203271,1899,257736,2761146,1454.0
2146,SUNSHINE COAST,SYDNEY,2004,298417,2655,364141,2222235,837.0
2193,SYDNEY,TOWNSVILLE,2004,149358,1445,204475,2442050,1690.0
2232,SYDNEY,WAGGA WAGGA,2004,126108,5163,184692,1894821,367.0
