,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km),start_lon,start_lat,end_lon,end_lat
1035,BROOME,PERTH,2000,143158,2577,183811,4321629,1677,122.2361,-17.9619,115.8589,-31.9522
1085,CAIRNS,MELBOURNE,2000,52942,455,64632,1051505,2311,145.7703,-16.9303,144.9631,-37.8136
1124,CAIRNS,SYDNEY,2000,720562,4412,914005,8696052,1971,145.7703,-16.9303,151.2094,-33.865
1153,CAIRNS,TOWNSVILLE,2000,134758,6605,232389,1875820,284,145.7703,-16.9303,146.8183,-19.2564
1195,CANBERRA,MELBOURNE,2000,765571,10286,1041006,4834420,470,149.1269,-35.2931,144.9631,-37.8136
1234,CANBERRA,SYDNEY,2000,908044,27055,1338848,6384980,236,149.1269,-35.2931,151.2094,-33.865
1273,COFFS HARBOUR,SYDNEY,2000,165042,7243,260628,3208649,443,153.1189,-30.3022,151.2094,-33.865
1302,DARWIN,MELBOURNE,2000,102,1,226,3131,3131,130.8411,-12.4381,144.9631,-37.8136
1355,DARWIN,SYDNEY,2000,134089,1368,171481,4316040,3155,130.8411,-12.4381,151.2094,-33.865
1394,DEVONPORT,MELBOURNE,2000,130468,5180,183666,2134160,412,146.3464,-41.1806,144.9631,-37.8136
1425,DUBBO,SYDNEY,2000,119219,6028,209445,1868680,310,148.6011,-32.2569,151.2094,-33.865
1476,GOLD COAST,SYDNEY,2000,1250460,9887,1504275,6723160,680,153.4,-28.0167,151.2094,-33.865
1549,HOBART,MELBOURNE,2000,792326,10109,991169,6247362,618,147.325,-42.8806,144.9631,-37.8136
1578,HOBART,SYDNEY,2000,126243,1913,179813,1987607,1039,147.325,-42.8806,151.2094,-33.865
1617,KALGOORLIE,PERTH,2000,182862,3994,318644,2148772,538,121.4658,-30.7489,115.8589,-31.9522
1656,KARRATHA,PERTH,2000,152071,3195,259399,3993750,1250,116.8464,-20.7364,115.8589,-31.9522
1695,LAUNCESTON,MELBOURNE,2000,443819,9320,586150,4436320,476,147.145,-41.4419,144.9631,-37.8136
1724,LAUNCESTON,SYDNEY,2000,71540,1192,91423,1089488,914,147.145,-41.4419,151.2094,-33.865
1766,MELBOURNE,BURNIE,2000,92709,4171,147335,1576638,378,144.9631,-37.8136,145.8753,-41.0636
1797,MELBOURNE,GOLD COAST,2000,569633,4058,718303,5397140,1330,144.9631,-37.8136,153.4,-28.0167
1836,MELBOURNE,MILDURA,2000,110566,4706,165710,2150642,457,144.9631,-37.8136,142.1583,-34.1889
1870,MELBOURNE,NEWCASTLE,2000,46405,2849,86062,2381764,836,144.9631,-37.8136,151.75,-32.9167
1909,MELBOURNE,PERTH,2000,978874,7483,1224424,20248998,2706,144.9631,-37.8136,115.8589,-31.9522
1948,MELBOURNE,SYDNEY,2000,5878000,41694,7841720,29435964,706,144.9631,-37.8136,151.2094,-33.865
2005,PERTH,PORT HEDLAND,2000,74334,1430,106374,1876160,1312,115.8589,-31.9522,118.6011,-20.31
2044,PERTH,SYDNEY,2000,1043461,7950,1336004,26107800,3284,115.8589,-31.9522,151.2094,-33.865
2103,SUNSHINE COAST,MELBOURNE,2000,34208,391,48971,568514,1454,153.0667,-26.65,144.9631,-37.8136
2142,SUNSHINE COAST,SYDNEY,2000,143031,1435,177472,1201095,837,153.0667,-26.65,151.2094,-33.865
2189,SYDNEY,TOWNSVILLE,2000,1626,16,2181,27040,1690,151.2094,-33.865,146.8183,-19.2564
2228,SYDNEY,WAGGA WAGGA,2000,113979,5064,176571,1858488,367,151.2094,-33.865,147.3689,-35.1189
