,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km),start_lon,start_lat,end_lon,end_lat
16,ADELAIDE,ALICE SPRINGS,2000,153440,1465,186712,1927940,1316,138.6011,-34.9289,133.8667,-23.7
55,ADELAIDE,BRISBANE,2000,228649,2056,267783,3334832,1622,138.6011,-34.9289,153.0281,-27.4678
96,ADELAIDE,CANBERRA,2000,100776,1843,153437,1791396,972,138.6011,-34.9289,149.1269,-35.2931
135,ADELAIDE,DARWIN,2000,154871,1650,196290,4321350,2619,138.6011,-34.9289,130.8411,-12.4381
197,ADELAIDE,MELBOURNE,2000,1373578,14080,1806596,9053440,643,138.6011,-34.9289,144.9631,-37.8136
236,ADELAIDE,PERTH,2000,399355,4265,542808,9041800,2120,138.6011,-34.9289,115.8589,-31.9522
265,ADELAIDE,PORT LINCOLN,2000,100466,5950,146528,1463700,246,138.6011,-34.9289,135.8586,-34.7322
304,ADELAIDE,SYDNEY,2000,1180389,12679,1628011,14796393,1167,138.6011,-34.9289,151.2094,-33.865
343,ALBURY,SYDNEY,2000,124506,5774,202619,2609848,452,146.9158,-36.0806,151.2094,-33.865
382,ALICE SPRINGS,DARWIN,2000,168718,2146,226108,2800530,1305,133.8667,-23.7,130.8411,-12.4381
426,ALICE SPRINGS,SYDNEY,2000,156154,1480,188593,2992560,2022,133.8667,-23.7,151.2094,-33.865
477,BALLINA,SYDNEY,2000,95557,4628,176950,2832336,612,153.5333,-28.8333,151.2094,-33.865
516,BRISBANE,CAIRNS,2000,994834,8622,1272352,11993202,1391,153.0281,-27.4678,145.7703,-16.9303
555,BRISBANE,CANBERRA,2000,256500,4798,347092,4586888,956,153.0281,-27.4678,149.1269,-35.2931
594,BRISBANE,DARWIN,2000,162164,1520,209897,4335040,2852,153.0281,-27.4678,130.8411,-12.4381
646,BRISBANE,HAMILTON ISLAND,2000,125560,1968,184487,1747584,888,153.0281,-27.4678,148.9573,-20.3519
672,BRISBANE,HOBART,2000,1128,22,1457,39402,1791,153.0281,-27.4678,147.325,-42.8806
712,BRISBANE,MACKAY,2000,204826,4045,321127,3223865,797,153.0281,-27.4678,149.1861,-21.1411
751,BRISBANE,MELBOURNE,2000,1875504,17964,2325154,24808284,1381,153.0281,-27.4678,144.9631,-37.8136
801,BRISBANE,NEWCASTLE,2000,50237,3672,97492,2254608,614,153.0281,-27.4678,151.75,-32.9167
840,BRISBANE,PERTH,2000,69655,680,94681,2458200,3615,153.0281,-27.4678,115.8589,-31.9522
879,BRISBANE,PROSERPINE,2000,78575,1497,113214,1339815,895,153.0281,-27.4678,148.5814,-20.4017
918,BRISBANE,ROCKHAMPTON,2000,236856,5114,362146,2649052,518,153.0281,-27.4678,150.5117,-23.375
957,BRISBANE,SYDNEY,2000,3735169,28757,4874794,21654021,753,153.0281,-27.4678,151.2094,-33.865
996,BRISBANE,TOWNSVILLE,2000,512149,5478,688844,6091536,1112,153.0281,-27.4678,146.8183,-19.2564
