,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km),start_lon,start_lat,end_lon,end_lat
15,ADELAIDE,ALICE SPRINGS,1999,153970,1462,187871,1923992,1316,138.6011,-34.9289,133.8667,-23.7
54,ADELAIDE,BRISBANE,1999,203853,1927,244459,3125594,1622,138.6011,-34.9289,153.0281,-27.4678
95,ADELAIDE,CANBERRA,1999,99063,1641,167658,1595052,972,138.6011,-34.9289,149.1269,-35.2931
134,ADELAIDE,DARWIN,1999,152344,1589,197365,4161591,2619,138.6011,-34.9289,130.8411,-12.4381
196,ADELAIDE,MELBOURNE,1999,1327684,13726,1792390,8825818,643,138.6011,-34.9289,144.9631,-37.8136
235,ADELAIDE,PERTH,1999,400875,4253,543476,9016360,2120,138.6011,-34.9289,115.8589,-31.9522
264,ADELAIDE,PORT LINCOLN,1999,101120,5948,150049,1463208,246,138.6011,-34.9289,135.8586,-34.7322
303,ADELAIDE,SYDNEY,1999,1141959,12413,1564067,14485971,1167,138.6011,-34.9289,151.2094,-33.865
342,ALBURY,SYDNEY,1999,115864,5055,175371,2284860,452,146.9158,-36.0806,151.2094,-33.865
381,ALICE SPRINGS,DARWIN,1999,166761,2107,225784,2749635,1305,133.8667,-23.7,130.8411,-12.4381
425,ALICE SPRINGS,SYDNEY,1999,154585,1465,187351,2962230,2022,133.8667,-23.7,151.2094,-33.865
476,BALLINA,SYDNEY,1999,102702,2605,142742,1594260,612,153.5333,-28.8333,151.2094,-33.865
515,BRISBANE,CAIRNS,1999,950375,8487,1236014,11805417,1391,153.0281,-27.4678,145.7703,-16.9303
554,BRISBANE,CANBERRA,1999,204342,3595,290741,3436820,956,153.0281,-27.4678,149.1269,-35.2931
593,BRISBANE,DARWIN,1999,150483,1489,188109,4246628,2852,153.0281,-27.4678,130.8411,-12.4381
645,BRISBANE,HAMILTON ISLAND,1999,114868,1888,171399,1676544,888,153.0281,-27.4678,148.9573,-20.3519
671,BRISBANE,HOBART,1999,3633,76,4889,136116,1791,153.0281,-27.4678,147.325,-42.8806
711,BRISBANE,MACKAY,1999,208694,3945,326265,3144165,797,153.0281,-27.4678,149.1861,-21.1411
750,BRISBANE,MELBOURNE,1999,1651260,16443,2106086,22707783,1381,153.0281,-27.4678,144.9631,-37.8136
800,BRISBANE,NEWCASTLE,1999,30465,3022,61918,1855508,614,153.0281,-27.4678,151.75,-32.9167
839,BRISBANE,PERTH,1999,53712,494,68870,1785810,3615,153.0281,-27.4678,115.8589,-31.9522
878,BRISBANE,PROSERPINE,1999,82217,1769,122275,1583255,895,153.0281,-27.4678,148.5814,-20.4017
917,BRISBANE,ROCKHAMPTON,1999,234225,5324,384836,2757832,518,153.0281,-27.4678,150.5117,-23.375
956,BRISBANE,SYDNEY,1999,3152654,24367,4180477,18348351,753,153.0281,-27.4678,151.2094,-33.865
995,BRISBANE,TOWNSVILLE,1999,501136,5362,656885,5962544,1112,153.0281,-27.4678,146.8183,-19.2564
1034,BROOME,PERTH,1999,129545,2423,165815,4063371,1677,122.2361,-17.9619,115.8589,-31.9522
1084,CAIRNS,MELBOURNE,1999,56276,472,67991,1090792,2311,145.7703,-16.9303,144.9631,-37.8136
1123,CAIRNS,SYDNEY,1999,681523,4170,873702,8219070,1971,145.7703,-16.9303,151.2094,-33.865
1152,CAIRNS,TOWNSVILLE,1999,122447,5965,206350,1694060,284,145.7703,-16.9303,146.8183,-19.2564
1194,CANBERRA,MELBOURNE,1999,728644,9903,1033054,4654410,470,149.1269,-35.2931,144.9631,-37.8136
1233,CANBERRA,SYDNEY,1999,858944,21969,1270017,5184684,236,149.1269,-35.2931,151.2094,-33.865
1272,COFFS HARBOUR,SYDNEY,1999,159367,6024,253850,2668632,443,153.1189,-30.3022,151.2094,-33.865
1301,DARWIN,MELBOURNE,1999,1098,6,1721,18786,3131,130.8411,-12.4381,144.9631,-37.8136
1354,DARWIN,SYDNEY,1999,116953,1211,145975,3820705,3155,130.8411,-12.4381,151.2094,-33.865
1393,DEVONPORT,MELBOURNE,1999,129253,5286,186899,2177832,412,146.3464,-41.1806,144.9631,-37.8136
1424,DUBBO,SYDNEY,1999,122082,6391,219625,1981210,310,148.6011,-32.2569,151.2094,-33.865
1475,GOLD COAST,SYDNEY,1999,1273198,10157,1576267,6906760,680,153.4,-28.0167,151.2094,-33.865
1548,HOBART,MELBOURNE,1999,767567,6576,900669,4063968,618,147.325,-42.8806,144.9631,-37.8136
1577,HOBART,SYDNEY,1999,97031,1322,131836,1373558,1039,147.325,-42.8806,151.2094,-33.865
1616,KALGOORLIE,PERTH,1999,174352,3877,309782,2085826,538,121.4658,-30.7489,115.8589,-31.9522
1655,KARRATHA,PERTH,1999,154298,3286,264440,4107500,1250,116.8464,-20.7364,115.8589,-31.9522
1694,LAUNCESTON,MELBOURNE,1999,449924,5876,545238,2796976,476,147.145,-41.4419,144.9631,-37.8136
1723,LAUNCESTON,SYDNEY,1999,70233,1161,88004,1061154,914,147.145,-41.4419,151.2094,-33.865
1765,MELBOURNE,BURNIE,1999,94307,4285,151181,1619730,378,144.9631,-37.8136,145.8753,-41.0636
1796,MELBOURNE,GOLD COAST,1999,573202,4197,728742,5582010,1330,144.9631,-37.8136,153.4,-28.0167
1835,MELBOURNE,MILDURA,1999,103877,4596,160255,2100372,457,144.9631,-37.8136,142.1583,-34.1889
1869,MELBOURNE,NEWCASTLE,1999,19445,2537,46291,2120932,836,144.9631,-37.8136,151.75,-32.9167
1908,MELBOURNE,PERTH,1999,905291,7393,1147345,20005458,2706,144.9631,-37.8136,115.8589,-31.9522
1947,MELBOURNE,SYDNEY,1999,5192891,35928,6874927,25365168,706,144.9631,-37.8136,151.2094,-33.865
2004,PERTH,PORT HEDLAND,1999,78286,1814,127189,2379968,1312,115.8589,-31.9522,118.6011,-20.31
2043,PERTH,SYDNEY,1999,982071,7284,1276637,23920656,3284,115.8589,-31.9522,151.2094,-33.865
2102,SUNSHINE COAST,MELBOURNE,1999,37361,409,50324,594686,1454,153.0667,-26.65,144.9631,-37.8136
2141,SUNSHINE COAST,SYDNEY,1999,173789,1800,217092,1506600,837,153.0667,-26.65,151.2094,-33.865
2188,SYDNEY,TOWNSVILLE,1999,1632,16,2132,27040,1690,151.2094,-33.865,146.8183,-19.2564
2227,SYDNEY,WAGGA WAGGA,1999,113223,5149,177319,1889683,367,151.2094,-33.865,147.3689,-35.1189
