,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km),start_lon,start_lat,end_lon,end_lat
1510,HAMILTON ISLAND,SYDNEY,2010,183318,1444,244188,2203544,1526,148.9573,-20.3519,151.2094,-33.865
1559,HOBART,MELBOURNE,2010,1231876,8902,1504988,5501436,618,147.325,-42.8806,144.9631,-37.8136
1588,HOBART,SYDNEY,2010,502821,4169,615229,4331591,1039,147.325,-42.8806,151.2094,-33.865
1627,KALGOORLIE,PERTH,2010,227226,2450,314901,1318100,538,121.4658,-30.7489,115.8589,-31.9522
1666,KARRATHA,PERTH,2010,587116,6597,939679,8246250,1250,116.8464,-20.7364,115.8589,-31.9522
1705,LAUNCESTON,MELBOURNE,2010,838240,8432,1059641,4013632,476,147.145,-41.4419,144.9631,-37.8136
1734,LAUNCESTON,SYDNEY,2010,211505,1641,258909,1499874,914,147.145,-41.4419,151.2094,-33.865
1807,MELBOURNE,GOLD COAST,2010,1767638,11598,2122635,15425340,1330,144.9631,-37.8136,153.4,-28.0167
1846,MELBOURNE,MILDURA,2010,198265,4860,274516,2221020,457,144.9631,-37.8136,142.1583,-34.1889
1880,MELBOURNE,NEWCASTLE,2010,370675,2674,461607,2235464,836,144.9631,-37.8136,151.75,-32.9167
1919,MELBOURNE,PERTH,2010,1736356,10843,2093520,29341158,2706,144.9631,-37.8136,115.8589,-31.9522
1958,MELBOURNE,SYDNEY,2010,7901054,52041,9594271,36740946,706,144.9631,-37.8136,151.2094,-33.865
1979,NEWCASTLE,GOLD COAST,2010,178721,1303,228685,702317,539,151.75,-32.9167,153.4,-28.0167
1986,PERTH,NEWMAN,2010,199041,3000,334779,3057000,1019,115.8589,-31.9522,119.7319,-23.3539
2015,PERTH,PORT HEDLAND,2010,329929,3960,491576,5195520,1312,115.8589,-31.9522,118.6011,-20.31
2054,PERTH,SYDNEY,2010,1622703,9490,2022895,31165160,3284,115.8589,-31.9522,151.2094,-33.865
2069,PORT MACQUARIE,SYDNEY,2010,212352,4483,296557,1439043,321,152.9,-31.4333,151.2094,-33.865
2113,SUNSHINE COAST,MELBOURNE,2010,403230,2976,511655,4327104,1454,153.0667,-26.65,144.9631,-37.8136
2152,SUNSHINE COAST,SYDNEY,2010,460294,3624,600899,3033288,837,153.0667,-26.65,151.2094,-33.865
2199,SYDNEY,TOWNSVILLE,2010,171319,1417,210152,2394730,1690,151.2094,-33.865,146.8183,-19.2564
2238,SYDNEY,WAGGA WAGGA,2010,185372,5778,278230,2120526,367,151.2094,-33.865,147.3689,-35.1189
