,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km),start_lon,start_lat,end_lon,end_lat
26,ADELAIDE,ALICE SPRINGS,2010,43433,366,58550,481656,1316,138.6011,-34.9289,133.8667,-23.7
65,ADELAIDE,BRISBANE,2010,717098,5746,874807,9320012,1622,138.6011,-34.9289,153.0281,-27.4678
106,ADELAIDE,CANBERRA,2010,192740,1899,256324,1845828,972,138.6011,-34.9289,149.1269,-35.2931
165,ADELAIDE,GOLD COAST,2010,261908,2041,328960,3279887,1607,138.6011,-34.9289,153.4,-28.0167
207,ADELAIDE,MELBOURNE,2010,2258309,19097,2746089,12279371,643,138.6011,-34.9289,144.9631,-37.8136
246,ADELAIDE,PERTH,2010,599013,5672,725089,12024640,2120,138.6011,-34.9289,115.8589,-31.9522
275,ADELAIDE,PORT LINCOLN,2010,166206,6565,300141,1614990,246,138.6011,-34.9289,135.8586,-34.7322
314,ADELAIDE,SYDNEY,2010,1785702,13495,2167356,15748665,1167,138.6011,-34.9289,151.2094,-33.865
353,ALBURY,SYDNEY,2010,248589,6637,356388,2999924,452,146.9158,-36.0806,151.2094,-33.865
397,ALICE SPRINGS,MELBOURNE,2010,143712,1125,180506,2092500,1860,133.8667,-23.7,144.9631,-37.8136
458,AYERS ROCK,SYDNEY,2010,52572,496,68023,1081776,2181,131.0369,-25.3444,151.2094,-33.865
487,BALLINA,SYDNEY,2010,267622,3684,358314,2254608,612,153.5333,-28.8333,151.2094,-33.865
526,BRISBANE,CAIRNS,2010,1153753,8706,1407369,12110046,1391,153.0281,-27.4678,145.7703,-16.9303
565,BRISBANE,CANBERRA,2010,612674,6657,822700,6364092,956,153.0281,-27.4678,149.1269,-35.2931
604,BRISBANE,DARWIN,2010,367202,2414,463053,6884728,2852,153.0281,-27.4678,130.8411,-12.4381
656,BRISBANE,HAMILTON ISLAND,2010,176236,1419,240591,1260072,888,153.0281,-27.4678,148.9573,-20.3519
722,BRISBANE,MACKAY,2010,798044,8090,1016753,6447730,797,153.0281,-27.4678,149.1861,-21.1411
761,BRISBANE,MELBOURNE,2010,3020158,22776,3703432,31453656,1381,153.0281,-27.4678,144.9631,-37.8136
811,BRISBANE,NEWCASTLE,2010,579082,5655,717447,3472170,614,153.0281,-27.4678,151.75,-32.9167
850,BRISBANE,PERTH,2010,755123,4406,892337,15927690,3615,153.0281,-27.4678,115.8589,-31.9522
889,BRISBANE,PROSERPINE,2010,210516,1448,249970,1295960,895,153.0281,-27.4678,148.5814,-20.4017
928,BRISBANE,ROCKHAMPTON,2010,643895,9654,837851,5000772,518,153.0281,-27.4678,150.5117,-23.375
967,BRISBANE,SYDNEY,2010,4397500,31010,5397416,23350530,753,153.0281,-27.4678,151.2094,-33.865
1006,BRISBANE,TOWNSVILLE,2010,941877,8092,1206991,8998304,1112,153.0281,-27.4678,146.8183,-19.2564
1045,BROOME,PERTH,2010,326310,3664,450317,6144528,1677,122.2361,-17.9619,115.8589,-31.9522
1095,CAIRNS,MELBOURNE,2010,451142,2898,538271,6697278,2311,145.7703,-16.9303,144.9631,-37.8136
1134,CAIRNS,SYDNEY,2010,876758,6080,1078371,11983680,1971,145.7703,-16.9303,151.2094,-33.865
1163,CAIRNS,TOWNSVILLE,2010,178480,5370,290508,1525080,284,145.7703,-16.9303,146.8183,-19.2564
1205,CANBERRA,MELBOURNE,2010,1138039,11781,1575816,5537070,470,149.1269,-35.2931,144.9631,-37.8136
1244,CANBERRA,SYDNEY,2010,1096232,18159,1637125,4285524,236,149.1269,-35.2931,151.2094,-33.865
1283,COFFS HARBOUR,SYDNEY,2010,307845,4833,414529,2141019,443,153.1189,-30.3022,151.2094,-33.865
1312,DARWIN,MELBOURNE,2010,289159,2043,387928,6396633,3131,130.8411,-12.4381,144.9631,-37.8136
1326,DARWIN,PERTH,2010,147900,1709,207825,4530559,2651,130.8411,-12.4381,115.8589,-31.9522
1435,DUBBO,SYDNEY,2010,181431,6315,251658,1957650,310,148.6011,-32.2569,151.2094,-33.865
1486,GOLD COAST,SYDNEY,2010,2405005,16534,2871131,11243120,680,153.4,-28.0167,151.2094,-33.865
